,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.886,0.182,0.248,0.369,0.051,0.669,0.386,0.107,0.007,0.012,0.088
1911-1920,0.886,0.0,0.044,0.182,0.135,0.491,0.817,0.596,0.098,0.002,0.0,0.033
1921-1930,0.182,0.044,0.0,0.085,0.104,0.155,0.57,0.166,0.0,0.0,0.0,0.009
1931-1940,0.248,0.182,0.085,0.0,0.209,0.419,0.39,0.847,0.133,0.258,0.088,0.08
1941-1950,0.369,0.135,0.104,0.209,0.0,0.165,0.634,0.438,0.015,0.0,0.0,0.004
1951-1960,0.051,0.491,0.155,0.419,0.165,0.0,0.577,0.699,0.029,0.026,0.005,0.025
1961-1970,0.669,0.817,0.57,0.39,0.634,0.577,0.0,0.845,0.238,0.083,0.034,0.141
1971-1980,0.386,0.596,0.166,0.847,0.438,0.699,0.845,0.0,0.37,0.623,0.351,0.303
1981-1990,0.107,0.098,0.0,0.133,0.015,0.029,0.238,0.37,0.0,0.114,0.074,0.05
1991-2000,0.007,0.002,0.0,0.258,0.0,0.026,0.083,0.623,0.114,0.0,0.762,0.055
2001-2010,0.012,0.0,0.0,0.088,0.0,0.005,0.034,0.351,0.074,0.762,0.0,0.397
2011-2018,0.088,0.033,0.009,0.08,0.004,0.025,0.141,0.303,0.05,0.055,0.397,0.0
