,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,5.852011111639842,6.181890965711702,6.750678111626122,10.032801082983939,6.840615230815034,7.4681748373797054,8.256015494922027,9.822775904490019,6.150704025964439,6.1166857517471325,6.326881736811419
1911-1920,5.852011111639842,0.0,6.623109029531017,6.748005417796368,9.024818925934788,7.94807159070049,9.014946638404293,9.756790170907726,11.175608641137464,7.247029054833585,7.125552607149564,7.460031399446001
1921-1930,6.181890965711702,6.623109029531017,0.0,6.932495399964596,9.429017857898868,8.135736388142838,8.796844512195786,9.873590547185144,10.560543639814467,7.283035529563686,7.096049572413262,7.480521643562114
1931-1940,6.750678111626122,6.748005417796368,6.932495399964596,0.0,9.458421011302026,8.657575870850062,9.329187514538972,10.063923744278458,11.011799498419453,7.5649663395744335,7.475945830139925,7.656487285211063
1941-1950,10.032801082983939,9.024818925934788,9.429017857898868,9.458421011302026,0.0,11.117709574551041,11.708712386486338,13.046557987085293,13.828153363532286,10.896363387623706,10.794656408438769,10.691580609630243
1951-1960,6.840615230815034,7.94807159070049,8.135736388142838,8.657575870850062,11.117709574551041,0.0,8.622029806508547,8.709681849672203,10.371413743844482,6.9254778924403,6.420591457298136,6.536422361382919
1961-1970,7.4681748373797054,9.014946638404293,8.796844512195786,9.329187514538972,11.708712386486338,8.622029806508547,0.0,9.184818257790859,10.041325553556852,7.9182176703439815,7.743769944164875,7.6963893269283306
1971-1980,8.256015494922027,9.756790170907726,9.873590547185144,10.063923744278458,13.046557987085293,8.709681849672203,9.184818257790859,0.0,9.636948242442267,7.964001068700259,7.297433181171737,7.5785132851808745
1981-1990,9.822775904490019,11.175608641137464,10.560543639814467,11.011799498419453,13.828153363532286,10.371413743844482,10.041325553556852,9.636948242442267,0.0,9.508162289500394,9.219057219663922,9.301325367707552
1991-2000,6.150704025964439,7.247029054833585,7.283035529563686,7.5649663395744335,10.896363387623706,6.9254778924403,7.9182176703439815,7.964001068700259,9.508162289500394,0.0,4.568452058014973,4.631115039481655
2001-2010,6.1166857517471325,7.125552607149564,7.096049572413262,7.475945830139925,10.794656408438769,6.420591457298136,7.743769944164875,7.297433181171737,9.219057219663922,4.568452058014973,0.0,4.497044490567379
2011-2018,6.326881736811419,7.460031399446001,7.480521643562114,7.656487285211063,10.691580609630243,6.536422361382919,7.6963893269283306,7.5785132851808745,9.301325367707552,4.631115039481655,4.497044490567379,0.0
