,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.083,0.35,0.261,0.007,0.468,0.271,0.001,0.245,0.0,0.0,0.0
1911-1920,0.083,0.0,0.172,0.486,0.298,0.047,0.001,0.0,0.018,0.0,0.0,0.0
1921-1930,0.35,0.172,0.0,0.763,0.257,0.099,0.052,0.0,0.171,0.0,0.001,0.001
1931-1940,0.261,0.486,0.763,0.0,0.331,0.047,0.036,0.002,0.064,0.002,0.0,0.009
1941-1950,0.007,0.298,0.257,0.331,0.0,0.013,0.008,0.001,0.01,0.0,0.0,0.026
1951-1960,0.468,0.047,0.099,0.047,0.013,0.0,0.452,0.071,0.535,0.202,0.478,0.494
1961-1970,0.271,0.001,0.052,0.036,0.008,0.452,0.0,0.088,0.918,0.037,0.029,0.097
1971-1980,0.001,0.0,0.0,0.002,0.001,0.071,0.088,0.0,0.668,0.0,0.001,0.017
1981-1990,0.245,0.018,0.171,0.064,0.01,0.535,0.918,0.668,0.0,0.296,0.387,0.486
1991-2000,0.0,0.0,0.0,0.002,0.0,0.202,0.037,0.0,0.296,0.0,0.072,0.098
2001-2010,0.0,0.0,0.001,0.0,0.0,0.478,0.029,0.001,0.387,0.072,0.0,0.103
2011-2018,0.0,0.0,0.001,0.009,0.026,0.494,0.097,0.017,0.486,0.098,0.103,0.0
