timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1931-1940,3,3.9153872108844805,0.0
1901-1910,1991-2000,9,4.640935852058165,0.0
1901-1910,1981-1990,8,5.254761199353332,0.0
1911-1920,2011-2018,10,5.189369222884651,0.0
1911-1920,1991-2000,8,4.203401684279081,0.0
1911-1920,2001-2010,9,4.602418203443062,0.0
1901-1910,2011-2018,11,5.027010971472989,0.0
1901-1910,2001-2010,10,4.989898183532788,0.0
1931-1940,1991-2000,6,4.190246830069016,0.0
1931-1940,2011-2018,8,5.0295990847163115,0.0
1921-1930,2001-2010,8,4.527336630233652,0.0
1921-1930,2011-2018,9,5.1125928507365455,0.0
1971-1980,2011-2018,4,5.798065920462919,0.0
1981-1990,2011-2018,3,5.685610707182773,0.0
1901-1910,1971-1980,7,5.066596470244992,0.001
1931-1940,1971-1980,4,4.849417219977142,0.001
1941-1950,2011-2018,7,4.919969870151514,0.001
1931-1940,2001-2010,7,4.711188679549618,0.001
1931-1940,1981-1990,5,5.008177308302402,0.001
1921-1930,1991-2000,7,4.27777406030161,0.002
1981-1990,1991-2000,1,5.254575823864282,0.002
1911-1920,1981-1990,7,4.765566835080095,0.003
1941-1950,1981-1990,4,5.353718361972839,0.003
1941-1950,1971-1980,3,5.155651940575723,0.003
1921-1930,1981-1990,6,4.851325554573814,0.003
1971-1980,2001-2010,3,5.167201693404022,0.006
1911-1920,1971-1980,6,4.511537806997757,0.008
1951-1960,2011-2018,6,5.2322988829771235,0.008
1921-1930,1931-1940,1,3.4499829376208244,0.01
1921-1930,1971-1980,5,4.565554774235761,0.013
1981-1990,2001-2010,2,5.181390764456717,0.015
1941-1950,2001-2010,6,4.664000717673958,0.016
1961-1970,2011-2018,5,5.620276872416721,0.016
1901-1910,1921-1930,2,3.5267964760891353,0.018
1901-1910,1941-1950,4,4.145526629800053,0.02
1901-1910,1961-1970,6,5.363807169380837,0.022
1931-1940,1941-1950,1,4.056699456031554,0.022
1961-1970,1981-1990,2,6.033296878309547,0.023
1971-1980,1991-2000,2,4.9517121371334545,0.023
1961-1970,2001-2010,4,5.573518768791888,0.03
1951-1960,1981-1990,3,5.579111512965282,0.032
1951-1960,1971-1980,2,5.439997709794106,0.034
1901-1910,1911-1920,1,3.3710505875202816,0.043
1911-1920,1931-1940,2,3.256499079355889,0.043
