,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,5.407226553554609,5.182110758744917,4.444522309697738,4.899069126166534,5.886266781070843,6.295164008576139,7.735411458879412,7.846849041868663,5.8879207364769925,4.810648471559391,5.606590211945902
1911-1920,5.407226553554609,0.0,5.059187409641908,4.981519209343031,4.701619876916699,6.343094122100411,6.138672332463375,8.234872633968589,7.847377265271686,6.636445423150079,5.3093390212588405,5.383794604993773
1921-1930,5.182110758744917,5.059187409641908,0.0,5.020295065619441,4.5681040004467475,5.718871927274003,5.913178836116801,8.239552106862524,8.205620169232542,6.181284469665026,5.153792583384141,5.468671675935044
1931-1940,4.444522309697738,4.981519209343031,5.020295065619441,0.0,4.430125483193757,5.675271515029564,5.692449418921848,8.105686420333134,7.559122388349188,5.692670998196376,4.793488620889182,5.3229374117582555
1941-1950,4.899069126166534,4.701619876916699,4.5681040004467475,4.430125483193757,0.0,5.944882630335009,4.83454933440346,7.753057966143469,7.711203629702899,5.667402420022396,4.461997059846855,4.291006443046047
1951-1960,5.886266781070843,6.343094122100411,5.718871927274003,5.675271515029564,5.944882630335009,0.0,7.125431076374998,8.393432604669332,8.744453147489043,6.3119850907485615,6.212806226084778,6.665036589266773
1961-1970,6.295164008576139,6.138672332463375,5.913178836116801,5.692449418921848,4.83454933440346,7.125431076374998,0.0,7.864799667788785,8.51075367831138,7.020097388678694,5.511385025963015,5.201955749257608
1971-1980,7.735411458879412,8.234872633968589,8.239552106862524,8.105686420333134,7.753057966143469,8.393432604669332,7.864799667788785,0.0,9.443560618979824,8.372247184742708,7.908485058289023,8.14686627100485
1981-1990,7.846849041868663,7.847377265271686,8.205620169232542,7.559122388349188,7.711203629702899,8.744453147489043,8.51075367831138,9.443560618979824,0.0,8.239116385004676,7.914057589938845,8.242686156129693
1991-2000,5.8879207364769925,6.636445423150079,6.181284469665026,5.692670998196376,5.667402420022396,6.3119850907485615,7.020097388678694,8.372247184742708,8.239116385004676,0.0,5.87640929532364,6.48755091001126
2001-2010,4.810648471559391,5.3093390212588405,5.153792583384141,4.793488620889182,4.461997059846855,6.212806226084778,5.511385025963015,7.908485058289023,7.914057589938845,5.87640929532364,0.0,4.982906519471573
2011-2018,5.606590211945902,5.383794604993773,5.468671675935044,5.3229374117582555,4.291006443046047,6.665036589266773,5.201955749257608,8.14686627100485,8.242686156129693,6.48755091001126,4.982906519471573,0.0
