timespan_1,timespan_2,distance,drift_magnitude,p_value
1941-1950,2011-2018,7,6.340401990692226,0.0
1961-1970,2001-2010,4,6.4451256095886915,0.0
1951-1960,1981-1990,3,6.471271513339254,0.001
1971-1980,2001-2010,3,5.78199357357128,0.001
1971-1980,1991-2000,2,6.085903400246653,0.002
1971-1980,2011-2018,4,5.543700961737536,0.003
1951-1960,1961-1970,1,7.528880068326844,0.003
1951-1960,1971-1980,2,6.644881651462689,0.003
1961-1970,2011-2018,5,6.269035091845144,0.004
1941-1950,2001-2010,6,6.2370549585803134,0.005
1941-1950,1971-1980,3,6.929314939782847,0.006
1981-1990,2001-2010,2,5.09802078534686,0.007
1961-1970,1991-2000,3,6.461196186699371,0.008
1941-1950,1961-1970,2,7.35337388453323,0.01
1941-1950,1951-1960,1,7.208569722131266,0.011
1981-1990,2011-2018,3,5.016406955653068,0.011
1951-1960,2001-2010,5,5.297779519354747,0.015
1961-1970,1981-1990,2,6.439656623813998,0.022
1901-1910,2011-2018,11,20.674085602295293,0.041
1971-1980,1981-1990,1,5.766682430669885,0.041
1901-1910,1981-1990,8,20.547661543865978,0.043
1901-1910,1941-1950,4,21.45340129846262,0.046
