timespan_1,timespan_2,distance,drift_magnitude,p_value
1921-1930,2011-2018,9,6.345089564588697,0.001
1911-1920,2001-2010,9,5.781767832082077,0.005
1911-1920,1991-2000,8,6.140049353079851,0.006
1961-1970,2001-2010,4,6.543700578823063,0.007
1911-1920,1971-1980,6,5.762885671527937,0.008
1961-1970,1991-2000,3,6.817014773336179,0.011
1961-1970,2011-2018,5,6.528802679911113,0.012
1901-1910,2011-2018,11,6.567941582396891,0.012
1991-2000,2001-2010,1,5.474569865041011,0.014
1911-1920,1961-1970,5,7.041461711119887,0.014
1911-1920,2011-2018,10,5.852414743810795,0.015
1921-1930,1991-2000,7,6.258916827309569,0.028
1961-1970,1971-1980,1,6.238263791334773,0.031
1991-2000,2011-2018,2,5.456777418432485,0.033
1901-1910,1971-1980,7,6.17277694402401,0.042
