,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.897,0.851,1.0,1.0,0.302,0.674,0.344,1.0,1.0,0.705,0.745
1911-1920,0.897,0.0,0.445,1.0,1.0,0.203,1.0,0.258,0.807,0.654,0.599,0.714
1921-1930,0.851,0.445,0.0,0.852,0.735,0.035,0.384,0.121,0.49,0.787,0.673,0.357
1931-1940,1.0,1.0,0.852,0.0,1.0,0.321,0.326,0.335,0.332,0.953,0.933,0.481
1941-1950,1.0,1.0,0.735,1.0,0.0,0.495,1.0,1.0,0.352,0.822,0.717,0.582
1951-1960,0.302,0.203,0.035,0.321,0.495,0.0,1.0,0.247,0.384,0.167,0.078,0.097
1961-1970,0.674,1.0,0.384,0.326,1.0,1.0,0.0,1.0,1.0,0.847,0.71,0.822
1971-1980,0.344,0.258,0.121,0.335,1.0,0.247,1.0,0.0,0.351,0.171,0.137,0.205
1981-1990,1.0,0.807,0.49,0.332,0.352,0.384,1.0,0.351,0.0,0.796,0.853,0.751
1991-2000,1.0,0.654,0.787,0.953,0.822,0.167,0.847,0.171,0.796,0.0,0.962,0.825
2001-2010,0.705,0.599,0.673,0.933,0.717,0.078,0.71,0.137,0.853,0.962,0.0,0.895
2011-2018,0.745,0.714,0.357,0.481,0.582,0.097,0.822,0.205,0.751,0.825,0.895,0.0
