,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,10.670966443484897,11.449104692781951,9.732128741378501,11.208214789507661,9.15724099637013,8.810353797107943,8.830256285298214,8.857722604440784,9.692957319091713,9.540863801591502,10.260866779929078
1911-1920,10.670966443484897,0.0,9.984845265542779,10.043430350514475,10.8642415672069,9.273418326549672,8.546677140625597,8.942200227154634,8.849752301223996,9.063050361777163,9.416901810447944,10.48140480519237
1921-1930,11.449104692781951,9.984845265542779,0.0,9.935539920129655,10.950548287042313,9.266800753150973,8.68797639474083,8.700171855119468,8.603805582144034,9.06869112031379,9.019516850395059,9.861524813986307
1931-1940,9.732128741378501,10.043430350514475,9.935539920129655,0.0,8.461564415671557,6.596665207818319,6.727045213876756,6.913511673046174,6.542096045396651,7.109682086466056,6.825980743732888,7.946807520445975
1941-1950,11.208214789507661,10.8642415672069,10.950548287042313,8.461564415671557,0.0,7.857046831070388,6.856476993801053,7.685380331124776,7.460930717948443,7.2652399859046435,7.321856416676871,8.60011393753667
1951-1960,9.15724099637013,9.273418326549672,9.266800753150973,6.596665207818319,7.857046831070388,0.0,4.974832414338849,4.99722848027012,4.776493724161916,5.4729119453924,5.6355089664258475,6.749394963728704
1961-1970,8.810353797107943,8.546677140625597,8.68797639474083,6.727045213876756,6.856476993801053,4.974832414338849,0.0,4.541046341124702,4.139331449991804,4.316078358528896,4.833831935132977,6.558700552583066
1971-1980,8.830256285298214,8.942200227154634,8.700171855119468,6.913511673046174,7.685380331124776,4.99722848027012,4.541046341124702,0.0,4.321435766008883,4.736517053525366,4.983545013278768,6.798251870121244
1981-1990,8.857722604440784,8.849752301223996,8.603805582144034,6.542096045396651,7.460930717948443,4.776493724161916,4.139331449991804,4.321435766008883,0.0,4.1803898924123954,4.093267058609885,5.945917014796252
1991-2000,9.692957319091713,9.063050361777163,9.06869112031379,7.109682086466056,7.2652399859046435,5.4729119453924,4.316078358528896,4.736517053525366,4.1803898924123954,0.0,4.038758403958379,6.010422910426162
2001-2010,9.540863801591502,9.416901810447944,9.019516850395059,6.825980743732888,7.321856416676871,5.6355089664258475,4.833831935132977,4.983545013278768,4.093267058609885,4.038758403958379,0.0,5.328932765822675
2011-2018,10.260866779929078,10.48140480519237,9.861524813986307,7.946807520445975,8.60011393753667,6.749394963728704,6.558700552583066,6.798251870121244,5.945917014796252,6.010422910426162,5.328932765822675,0.0
