,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.0,0.0,0.159,0.311,0.142,0.484,0.041,0.002,0.0,0.0,0.0
1911-1920,0.0,0.0,0.641,0.076,0.865,0.196,0.339,0.067,0.076,0.027,0.081,0.0
1921-1930,0.0,0.641,0.0,0.133,0.903,0.119,0.593,0.091,0.034,0.136,0.059,0.0
1931-1940,0.159,0.076,0.133,0.0,0.623,0.551,0.544,0.262,0.075,0.232,0.037,0.075
1941-1950,0.311,0.865,0.903,0.623,0.0,0.051,0.166,0.24,0.57,0.714,0.759,0.69
1951-1960,0.142,0.196,0.119,0.551,0.051,0.0,0.233,0.301,0.012,0.153,0.021,0.063
1961-1970,0.484,0.339,0.593,0.544,0.166,0.233,0.0,0.434,0.402,0.53,0.393,0.472
1971-1980,0.041,0.067,0.091,0.262,0.24,0.301,0.434,0.0,0.154,0.105,0.061,0.117
1981-1990,0.002,0.076,0.034,0.075,0.57,0.012,0.402,0.154,0.0,0.025,0.013,0.014
1991-2000,0.0,0.027,0.136,0.232,0.714,0.153,0.53,0.105,0.025,0.0,0.639,0.264
2001-2010,0.0,0.081,0.059,0.037,0.759,0.021,0.393,0.061,0.013,0.639,0.0,0.219
2011-2018,0.0,0.0,0.0,0.075,0.69,0.063,0.472,0.117,0.014,0.264,0.219,0.0
