,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,13.921291961653438,11.583142749334252,10.951870775892449,11.415182862420043,13.440043335138725,9.972299013427397,11.350654737035821,18.899861585678458,9.682657812040281,9.937969958729855,11.151133206914254
1911-1920,13.921291961653438,0.0,13.456393934546318,14.66916447504455,14.972623717512324,17.447843896540125,14.377902844760717,13.767476705631532,21.727538498033343,14.057122618235526,14.595062929689474,14.862810693063656
1921-1930,11.583142749334252,13.456393934546318,0.0,13.499242701098211,13.249217449197367,16.114037394922942,11.825197239410508,12.712662108783979,20.59846799637008,12.007766658693836,11.457799011615993,13.876431444318738
1931-1940,10.951870775892449,14.66916447504455,13.499242701098211,0.0,13.335346844635534,14.920941256935393,11.803323646604852,13.487607066068886,19.67805554299441,11.057831874129379,12.30254789282849,12.837129646876951
1941-1950,11.415182862420043,14.972623717512324,13.249217449197367,13.335346844635534,0.0,15.021081027542696,11.757593188436422,13.250719949998603,20.233954868061907,12.042163385726578,12.299353037754432,14.257853279486659
1951-1960,13.440043335138725,17.447843896540125,16.114037394922942,14.920941256935393,15.021081027542696,0.0,12.812867537526312,15.640161860152624,20.832611042512504,13.617765293440247,15.183761004794055,14.789019950019581
1961-1970,9.972299013427397,14.377902844760717,11.825197239410508,11.803323646604852,11.757593188436422,12.812867537526312,0.0,12.3924619044358,18.694838959851328,9.6961696148598,10.655249024528645,12.400270876872161
1971-1980,11.350654737035821,13.767476705631532,12.712662108783979,13.487607066068886,13.250719949998603,15.640161860152624,12.3924619044358,0.0,20.24935892041484,12.264537623169154,12.783021823809511,13.636128389509159
1981-1990,18.899861585678458,21.727538498033343,20.59846799637008,19.67805554299441,20.233954868061907,20.832611042512504,18.694838959851328,20.24935892041484,0.0,18.74942048240605,19.501041833459617,19.89997273831089
1991-2000,9.682657812040281,14.057122618235526,12.007766658693836,11.057831874129379,12.042163385726578,13.617765293440247,9.6961696148598,12.264537623169154,18.74942048240605,0.0,10.086116054972427,11.179754883506506
2001-2010,9.937969958729855,14.595062929689474,11.457799011615993,12.30254789282849,12.299353037754432,15.183761004794055,10.655249024528645,12.783021823809511,19.501041833459617,10.086116054972427,0.0,12.861828128570833
2011-2018,11.151133206914254,14.862810693063656,13.876431444318738,12.837129646876951,14.257853279486659,14.789019950019581,12.400270876872161,13.636128389509159,19.89997273831089,11.179754883506506,12.861828128570833,0.0
