,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,8.156764230484177,6.822684195550758,6.605671035075179,7.276102368098693,8.191068270269657,8.013531351400164,11.573192090157374,8.134355511521937,11.175083046341758,9.856371386748213
1911-1920,8.156764230484177,0.0,7.4789275931309325,7.208094710841035,7.456163824138565,9.573883780594574,7.927936522866124,11.653232834644601,9.570578411406716,12.045355550994426,9.749575072992336
1921-1930,6.822684195550758,7.4789275931309325,0.0,6.127616260776875,7.72054275994156,8.914738666842386,8.16603292759352,11.694271389237992,8.635755080341726,11.42017229697502,10.431354797812686
1931-1940,6.605671035075179,7.208094710841035,6.127616260776875,0.0,6.741148513284595,8.147461832208528,7.331599650807418,10.765299147948083,7.685059468639395,10.885626744159039,8.998416328267252
1941-1950,7.276102368098693,7.456163824138565,7.72054275994156,6.741148513284595,0.0,7.468401901027055,6.517115400182229,11.157401356620227,8.620989086269386,11.919069116449329,8.533504070824764
1951-1960,8.191068270269657,9.573883780594574,8.914738666842386,8.147461832208528,7.468401901027055,0.0,8.624139448836257,12.705016131148856,9.830144324468954,12.514767649267492,9.439948687964428
1961-1970,8.013531351400164,7.927936522866124,8.16603292759352,7.331599650807418,6.517115400182229,8.624139448836257,0.0,11.394646400636779,8.767060159589716,12.099131339919705,8.91951081145209
1971-1980,11.573192090157374,11.653232834644601,11.694271389237992,10.765299147948083,11.157401356620227,12.705016131148856,11.394646400636779,0.0,11.304706275062868,14.7240774290228,13.268039187705579
1981-1990,8.134355511521937,9.570578411406716,8.635755080341726,7.685059468639395,8.620989086269386,9.830144324468954,8.767060159589716,11.304706275062868,0.0,13.124015371639654,10.514018258133097
2001-2010,11.175083046341758,12.045355550994426,11.42017229697502,10.885626744159039,11.919069116449329,12.514767649267492,12.099131339919705,14.7240774290228,13.124015371639654,0.0,12.622139837044772
2011-2018,9.856371386748213,9.749575072992336,10.431354797812686,8.998416328267252,8.533504070824764,9.439948687964428,8.91951081145209,13.268039187705579,10.514018258133097,12.622139837044772,0.0
