,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,3.1988288907426723,3.42158736732239,3.6351802480615567,4.024736025241352,4.796164246752609,5.687355272142675,5.715902296572015,5.321533125515429,4.171440905330662,4.684074110155098,4.6264892756839044
1911-1920,3.1988288907426723,0.0,2.7475712934829177,3.6682072085137127,4.158941066446932,5.150798831040191,6.144277889415334,5.9121525750379424,5.554079417417755,4.202718286998941,4.835611995175332,4.896665330252406
1921-1930,3.42158736732239,2.7475712934829177,0.0,3.1888027497812246,3.700769921082634,4.323976328205513,5.491766830182983,5.1730415076667295,4.798199170893252,3.680342125992753,4.3129793906359355,4.176468644548445
1931-1940,3.6351802480615567,3.6682072085137127,3.1888027497812246,0.0,2.62325596278393,3.408516762092636,3.865139055418723,3.836838449972729,3.2518336000471284,3.28211545074863,3.363354049242119,3.4970370537202626
1941-1950,4.024736025241352,4.158941066446932,3.700769921082634,2.62325596278393,0.0,3.5258434811107087,3.786773421255131,3.8341415019388334,3.5358448774768836,3.933718926158291,3.7287801785409176,4.065788001358013
1951-1960,4.796164246752609,5.150798831040191,4.323976328205513,3.408516762092636,3.5258434811107087,0.0,4.460441024512539,4.064306041181941,3.9061873337203727,4.099386919487747,4.131116881328593,3.874876303265478
1961-1970,5.687355272142675,6.144277889415334,5.491766830182983,3.865139055418723,3.786773421255131,4.460441024512539,0.0,3.9053220083395117,3.759267733907089,5.301334856877793,4.820224922795043,4.856290641469036
1971-1980,5.715902296572015,5.9121525750379424,5.1730415076667295,3.836838449972729,3.8341415019388334,4.064306041181941,3.9053220083395117,0.0,2.9565373135600304,4.933085507821729,4.377782916999043,4.053484609337747
1981-1990,5.321533125515429,5.554079417417755,4.798199170893252,3.2518336000471284,3.5358448774768836,3.9061873337203727,3.759267733907089,2.9565373135600304,0.0,4.1009765097983175,3.46741264054438,3.6511732854302075
1991-2000,4.171440905330662,4.202718286998941,3.680342125992753,3.28211545074863,3.933718926158291,4.099386919487747,5.301334856877793,4.933085507821729,4.1009765097983175,0.0,2.9875439955505843,3.162836973449004
2001-2010,4.684074110155098,4.835611995175332,4.3129793906359355,3.363354049242119,3.7287801785409176,4.131116881328593,4.820224922795043,4.377782916999043,3.46741264054438,2.9875439955505843,0.0,2.983660237292895
2011-2018,4.6264892756839044,4.896665330252406,4.176468644548445,3.4970370537202626,4.065788001358013,3.874876303265478,4.856290641469036,4.053484609337747,3.6511732854302075,3.162836973449004,2.983660237292895,0.0
