synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s25993,klappe,1901-1910,1911-1920,0.011784105231736012,0.3006771076490001
s25993,klappe,1911-1920,1921-1930,0.009991104212355783,0.54953630790933
s25993,klappe,1921-1930,1931-1940,0.012170100611655289,0.1633392652566851
s25993,klappe,1931-1940,1941-1950,0.021544036465105085,0.6378098709804751
s25993,klappe,1941-1950,1951-1960,0.024676921412155724,0.3872038217415499
s25993,klappe,1951-1960,1961-1970,0.015511537796734046,0.15319887212755734
s25993,klappe,1961-1970,1971-1980,0.02301533573101549,0.1800360856878943
s25993,klappe,1971-1980,1981-1990,0.028501227897900903,1.2042780124088457
s25993,klappe,1981-1990,1991-2000,0.028933213254002086,0.1406734855544056
s25993,klappe,1991-2000,2001-2010,0.00550845499720875,0.14747226978967296
