timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1911-1920,1,6.474669101529242,0.0
1901-1910,1931-1940,3,6.008546619780087,0.0
1901-1910,1961-1970,6,5.6917640130188865,0.0
1901-1910,1951-1960,5,5.8191195215677025,0.0
1901-1910,1971-1980,7,7.432123610139547,0.0
1901-1910,1981-1990,8,6.247459329836487,0.0
1911-1920,1961-1970,5,6.14818455012788,0.0
1911-1920,1951-1960,4,5.990889440436811,0.0
1911-1920,1941-1950,3,6.96342399893178,0.0
1911-1920,2011-2018,10,6.379399179492136,0.0
1911-1920,2001-2010,9,6.882401497389456,0.0
1911-1920,1981-1990,7,7.036425974968063,0.0
1911-1920,1971-1980,6,7.0353688794848335,0.002
1911-1920,1991-2000,8,6.625686430770227,0.003
1911-1920,1931-1940,2,6.103831484445323,0.003
1901-1910,2001-2010,10,6.552070099536764,0.003
1901-1910,2011-2018,11,5.909544830612775,0.004
1981-1990,1991-2000,1,7.047380592854071,0.006
1901-1910,1941-1950,4,6.236992777170902,0.008
1901-1910,1921-1930,2,7.015626935683765,0.008
1961-1970,1971-1980,1,6.816038871449552,0.012
1931-1940,1961-1970,3,5.831821948493065,0.02
1961-1970,1981-1990,2,5.955341996072488,0.034
1901-1910,1991-2000,9,6.081722849226162,0.045
