,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.134,0.319,0.0,0.059,0.005,0.027,0.04,0.037,0.02,0.005,0.0
1911-1920,0.134,0.0,0.395,0.0,0.031,0.652,0.676,0.833,0.901,0.238,0.012,0.0
1921-1930,0.319,0.395,0.0,0.001,0.629,0.152,0.356,0.027,0.251,0.329,0.069,0.0
1931-1940,0.0,0.0,0.001,0.0,0.049,0.0,0.0,0.0,0.0,0.001,0.0,0.0
1941-1950,0.059,0.031,0.629,0.049,0.0,0.096,0.02,0.253,0.074,0.631,0.085,0.0
1951-1960,0.005,0.652,0.152,0.0,0.096,0.0,0.081,0.143,0.137,0.217,0.0,0.0
1961-1970,0.027,0.676,0.356,0.0,0.02,0.081,0.0,0.371,0.88,0.787,0.015,0.0
1971-1980,0.04,0.833,0.027,0.0,0.253,0.143,0.371,0.0,0.83,0.889,0.082,0.0
1981-1990,0.037,0.901,0.251,0.0,0.074,0.137,0.88,0.83,0.0,0.763,0.063,0.0
1991-2000,0.02,0.238,0.329,0.001,0.631,0.217,0.787,0.889,0.763,0.0,0.361,0.0
2001-2010,0.005,0.012,0.069,0.0,0.085,0.0,0.015,0.082,0.063,0.361,0.0,0.01
2011-2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
