synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s13438,kurs,1901-1910,1911-1920,0.015005910367974573,0.20248417659938203
s13438,kurs,1911-1920,1921-1930,0.05436393938453514,0.895879622202309
s13438,kurs,1921-1930,1931-1940,0.016997122619116792,0.2263041568870635
s13438,kurs,1931-1940,1941-1950,0.023725397758770663,0.2569025599626214
s13438,kurs,1941-1950,1951-1960,0.027105873190300285,0.22866103599708482
s13438,kurs,1951-1960,1961-1970,0.0054521045337534565,0.2654032970342312
s13438,kurs,1961-1970,1971-1980,0.006264718479482951,0.21080892630680284
s13438,kurs,1971-1980,1981-1990,0.023235967509656945,0.53195468306208
s13438,kurs,1981-1990,1991-2000,0.013525219867495629,0.41822320212703495
s13438,kurs,1991-2000,2001-2010,0.03544434894405463,0.4959965615315014
