timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1931-1940,3,7.945769092222229,0.0
1901-1910,2011-2018,11,9.527153132291645,0.0
1911-1920,2011-2018,10,9.783799912566916,0.0
1911-1920,1931-1940,2,8.38106750413693,0.0
1921-1930,2011-2018,9,9.805986707511565,0.0
1951-1960,2011-2018,6,9.995068541831012,0.0
1971-1980,2011-2018,4,9.243570614674182,0.0
1981-1990,2011-2018,3,9.967202056322437,0.0
1941-1950,2011-2018,7,9.860978617043383,0.0
1951-1960,2001-2010,5,6.700451200545741,0.0
1931-1940,2011-2018,8,10.555657528312203,0.0
1931-1940,2001-2010,7,8.348385407363208,0.0
1931-1940,1981-1990,5,8.225459767935611,0.0
1931-1940,1971-1980,4,7.735105997547244,0.0
1931-1940,1961-1970,3,7.86839844859419,0.0
1931-1940,1951-1960,2,7.339122322146168,0.0
1991-2000,2011-2018,2,9.47442599198205,0.0
1961-1970,2011-2018,5,10.233948193860115,0.0
1921-1930,1931-1940,1,7.54317955256705,0.001
1931-1940,1991-2000,6,8.171830237335692,0.001
1901-1910,1951-1960,5,5.606364654465698,0.005
1901-1910,2001-2010,10,6.594738074717077,0.005
2001-2010,2011-2018,1,7.788946579014016,0.01
1911-1920,2001-2010,9,6.544669217313303,0.012
1961-1970,2001-2010,4,6.257488972099085,0.015
1901-1910,1991-2000,9,6.916994270928202,0.02
1941-1950,1961-1970,2,6.481122417056009,0.02
1921-1930,1971-1980,5,5.83308800552635,0.027
1901-1910,1961-1970,6,5.468623371709675,0.027
1911-1920,1941-1950,3,6.697190138979008,0.031
1901-1910,1981-1990,8,6.084506865230505,0.037
1901-1910,1971-1980,7,5.706997890281088,0.04
1931-1940,1941-1950,1,7.041624604786086,0.049
