,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,7.689609599596194,6.76171355389344,6.796157074724635,6.802335537943836,6.75734686825068,8.068843319621283,7.5878594690722885,6.866986723727163,6.887095963702466,7.88083411090591,7.924882440211861
1911-1920,7.689609599596194,0.0,6.04254578640758,5.727987965147354,6.380488891027446,6.762636415466143,6.6787735701767,6.8932003216341835,6.172239558310544,6.5285793988721705,6.058269447115597,6.417703062311258
1921-1930,6.76171355389344,6.04254578640758,0.0,5.4265230859140505,5.747512232332027,5.344381378547242,6.371375524005092,6.777082529052546,5.710528787698237,6.130647864043472,6.234489219735163,6.573623102857086
1931-1940,6.796157074724635,5.727987965147354,5.4265230859140505,0.0,5.6946509806082135,5.558631144362148,6.004686589175698,6.178282898121626,4.889353254211623,6.150602297552155,5.916977525326144,6.28030616533362
1941-1950,6.802335537943836,6.380488891027446,5.747512232332027,5.6946509806082135,0.0,5.552205753342746,6.229023132879103,7.161847790059362,5.845319408044968,6.111732453322548,6.304576873982572,6.717366420673442
1951-1960,6.75734686825068,6.762636415466143,5.344381378547242,5.558631144362148,5.552205753342746,0.0,5.578279447554825,6.64899149805722,5.317523924421813,5.4975284673737175,6.155782010383188,6.742886449243194
1961-1970,8.068843319621283,6.6787735701767,6.371375524005092,6.004686589175698,6.229023132879103,5.578279447554825,0.0,6.979983850393616,5.986765270663031,6.114737811941062,6.3331331113373155,6.676296139947323
1971-1980,7.5878594690722885,6.8932003216341835,6.777082529052546,6.178282898121626,7.161847790059362,6.64899149805722,6.979983850393616,0.0,6.537064349716842,6.665799601945945,6.959361047401834,7.301876711630671
1981-1990,6.866986723727163,6.172239558310544,5.710528787698237,4.889353254211623,5.845319408044968,5.317523924421813,5.986765270663031,6.537064349716842,0.0,5.826774657639868,6.0246820030230035,5.8896023707393175
1991-2000,6.887095963702466,6.5285793988721705,6.130647864043472,6.150602297552155,6.111732453322548,5.4975284673737175,6.114737811941062,6.665799601945945,5.826774657639868,0.0,6.44035662695885,6.539899164519173
2001-2010,7.88083411090591,6.058269447115597,6.234489219735163,5.916977525326144,6.304576873982572,6.155782010383188,6.3331331113373155,6.959361047401834,6.0246820030230035,6.44035662695885,0.0,6.268482988442605
2011-2018,7.924882440211861,6.417703062311258,6.573623102857086,6.28030616533362,6.717366420673442,6.742886449243194,6.676296139947323,7.301876711630671,5.8896023707393175,6.539899164519173,6.268482988442605,0.0
