timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1961-1970,6,8.068843319621283,0.001
1911-1920,1951-1960,4,6.762636415466143,0.001
1901-1910,1911-1920,1,7.689609599596194,0.009
1911-1920,1961-1970,5,6.6787735701767,0.012
1901-1910,2001-2010,10,7.88083411090591,0.013
1921-1930,1961-1970,4,6.371375524005092,0.017
1941-1950,1971-1980,3,7.161847790059362,0.022
1931-1940,1961-1970,3,6.004686589175698,0.025
1911-1920,1981-1990,7,6.172239558310544,0.035
1911-1920,1941-1950,3,6.380488891027446,0.044
