synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s47771,pflaster,1901-1910,1911-1920,0.007993348220154883,0.3465978443159484
s47771,pflaster,1911-1920,1921-1930,0.009247420077450068,0.2540556636904418
s47771,pflaster,1921-1930,1931-1940,0.009790656653060855,0.4123876427292284
s47771,pflaster,1931-1940,1941-1950,0.01441152990304561,0.2122281287785048
s47771,pflaster,1941-1950,1951-1960,0.007672831892521785,0.416582312509743
s47771,pflaster,1951-1960,1961-1970,0.006244223472643742,0.369962500392634
s47771,pflaster,1961-1970,1971-1980,0.017822249578219977,0.13573090796366089
s47771,pflaster,1971-1980,1981-1990,0.008686114525568367,0.3477605761995702
s47771,pflaster,1981-1990,1991-2000,0.030742867638878082,0.17694414576989786
s47771,pflaster,1991-2000,2001-2010,0.027715509912337344,1.3464069076358074
