,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.008,0.591,0.797,0.617,0.033,0.066,0.186,0.43,0.035,0.005,0.0
1911-1920,0.008,0.0,0.059,0.079,0.864,0.129,0.377,0.815,0.408,0.189,0.054,0.048
1921-1930,0.591,0.059,0.0,0.84,0.342,0.434,0.917,0.462,0.708,0.012,0.049,0.059
1931-1940,0.797,0.079,0.84,0.0,0.672,0.145,0.891,0.392,0.648,0.11,0.173,0.009
1941-1950,0.617,0.864,0.342,0.672,0.0,0.752,0.831,0.932,0.828,0.293,0.944,0.269
1951-1960,0.033,0.129,0.434,0.145,0.752,0.0,0.32,0.354,0.222,0.006,0.102,0.043
1961-1970,0.066,0.377,0.917,0.891,0.831,0.32,0.0,0.967,0.92,0.144,0.166,0.361
1971-1980,0.186,0.815,0.462,0.392,0.932,0.354,0.967,0.0,0.947,0.438,0.986,0.226
1981-1990,0.43,0.408,0.708,0.648,0.828,0.222,0.92,0.947,0.0,0.166,0.111,0.071
1991-2000,0.035,0.189,0.012,0.11,0.293,0.006,0.144,0.438,0.166,0.0,0.108,0.09
2001-2010,0.005,0.054,0.049,0.173,0.944,0.102,0.166,0.986,0.111,0.108,0.0,0.01
2011-2018,0.0,0.048,0.059,0.009,0.269,0.043,0.361,0.226,0.071,0.09,0.01,0.0
