,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,5.666191247380051,4.536283363842986,5.106711019250712,5.733879810917656,7.179251279475644,8.314555850547334,8.136680487045338,9.17203449787506,6.550166191631583,6.038512681458234
1911-1920,5.666191247380051,0.0,5.624573864341305,4.892714297508554,5.243862373501437,7.630630692965992,8.865795372928154,8.968225252681203,9.70714388689402,6.604779091016509,6.059835338039195
1921-1930,4.536283363842986,5.624573864341305,0.0,4.68944730283978,5.288191397593118,7.629306863859201,8.192939191935434,8.05545829917288,8.955280642491356,6.672661917811008,5.790316792312229
1931-1940,5.106711019250712,4.892714297508554,4.68944730283978,0.0,4.130532342899758,7.257150161384778,7.653514905530096,8.089781117646403,8.678223281894699,5.839228183701477,5.3199474245285225
1941-1950,5.733879810917656,5.243862373501437,5.288191397593118,4.130532342899758,0.0,7.702329236928895,8.222632649433933,8.546573278637496,8.827820421337169,6.082738447941626,6.038698372212737
1951-1960,7.179251279475644,7.630630692965992,7.629306863859201,7.257150161384778,7.702329236928895,0.0,8.763669427148411,9.055219840578717,10.614173890155874,7.331290736930993,7.186088955490248
1961-1970,8.314555850547334,8.865795372928154,8.192939191935434,7.653514905530096,8.222632649433933,8.763669427148411,0.0,9.42265050421781,10.960536064990233,8.42436652122445,8.230660781825096
1971-1980,8.136680487045338,8.968225252681203,8.05545829917288,8.089781117646403,8.546573278637496,9.055219840578717,9.42265050421781,0.0,10.872178466301186,8.80991081486045,8.662538637860838
1981-1990,9.17203449787506,9.70714388689402,8.955280642491356,8.678223281894699,8.827820421337169,10.614173890155874,10.960536064990233,10.872178466301186,0.0,9.499185352629388,9.860666237374561
2001-2010,6.550166191631583,6.604779091016509,6.672661917811008,5.839228183701477,6.082738447941626,7.331290736930993,8.42436652122445,8.80991081486045,9.499185352629388,0.0,6.331643520450789
2011-2018,6.038512681458234,6.059835338039195,5.790316792312229,5.3199474245285225,6.038698372212737,7.186088955490248,8.230660781825096,8.662538637860838,9.860666237374561,6.331643520450789,0.0
