timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1911-1920,1,5.666191247380051,0.0
1901-1910,1921-1930,2,4.536283363842986,0.0
1901-1910,1931-1940,3,5.106711019250712,0.0
1901-1910,1941-1950,4,5.733879810917656,0.0
1901-1910,1961-1970,6,8.314555850547334,0.0
1911-1920,1921-1930,1,5.624573864341305,0.0
1901-1910,2011-2018,10,6.038512681458234,0.0
1901-1910,2001-2010,9,6.550166191631583,0.0
1911-1920,1971-1980,6,8.968225252681203,0.0
1911-1920,1981-1990,7,9.70714388689402,0.0
1921-1930,1941-1950,2,5.288191397593118,0.0
1941-1950,1971-1980,3,8.546573278637496,0.0
1941-1950,2001-2010,5,6.082738447941626,0.0
1921-1930,2001-2010,7,6.672661917811008,0.0
1911-1920,2001-2010,8,6.604779091016509,0.0
1911-1920,1941-1950,3,5.243862373501437,0.001
1911-1920,1961-1970,5,8.865795372928154,0.001
1931-1940,2001-2010,6,5.839228183701477,0.001
1921-1930,1931-1940,1,4.68944730283978,0.001
1901-1910,1971-1980,7,8.136680487045338,0.002
1901-1910,1981-1990,8,9.17203449787506,0.002
1971-1980,2001-2010,2,8.80991081486045,0.003
1941-1950,1961-1970,2,8.222632649433933,0.006
1931-1940,1971-1980,4,8.089781117646403,0.008
1921-1930,1961-1970,4,8.192939191935434,0.008
1941-1950,1951-1960,1,7.702329236928895,0.009
1921-1930,1971-1980,5,8.05545829917288,0.011
1941-1950,1981-1990,4,8.827820421337169,0.02
1901-1910,1951-1960,5,7.179251279475644,0.021
1941-1950,2011-2018,6,6.038698372212737,0.023
1921-1930,1951-1960,3,7.629306863859201,0.025
1921-1930,1981-1990,6,8.955280642491356,0.031
1931-1940,1941-1950,1,4.130532342899758,0.039
1911-1920,1931-1940,2,4.892714297508554,0.04
1981-1990,2011-2018,2,9.860666237374561,0.044
