,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.842,0.439,0.245,0.581,0.293,0.41,0.127,0.586,0.467,0.101,0.279
1911-1920,0.842,0.0,0.836,0.148,0.565,0.331,0.484,0.822,0.623,0.24,0.066,0.04
1921-1930,0.439,0.836,0.0,0.304,0.894,0.795,0.298,0.217,0.307,0.343,0.248,0.294
1931-1940,0.245,0.148,0.304,0.0,0.102,0.075,0.202,0.022,0.011,0.006,0.003,0.0
1941-1950,0.581,0.565,0.894,0.102,0.0,0.232,0.207,0.7,0.673,0.106,0.083,0.144
1951-1960,0.293,0.331,0.795,0.075,0.232,0.0,0.623,0.103,0.184,0.667,0.065,0.011
1961-1970,0.41,0.484,0.298,0.202,0.207,0.623,0.0,0.229,0.291,0.721,0.049,0.029
1971-1980,0.127,0.822,0.217,0.022,0.7,0.103,0.229,0.0,0.468,0.153,0.113,0.014
1981-1990,0.586,0.623,0.307,0.011,0.673,0.184,0.291,0.468,0.0,0.381,0.107,0.06
1991-2000,0.467,0.24,0.343,0.006,0.106,0.667,0.721,0.153,0.381,0.0,0.56,0.091
2001-2010,0.101,0.066,0.248,0.003,0.083,0.065,0.049,0.113,0.107,0.56,0.0,0.572
2011-2018,0.279,0.04,0.294,0.0,0.144,0.011,0.029,0.014,0.06,0.091,0.572,0.0
