timespan_1,timespan_2,distance,drift_magnitude,p_value
1931-1940,2011-2018,8,8.124548762855234,0.0
1931-1940,2001-2010,7,8.36929998694896,0.003
1931-1940,1991-2000,6,8.35222124207045,0.006
1931-1940,1981-1990,5,8.849778511422908,0.011
1951-1960,2011-2018,6,7.937293619708039,0.011
1971-1980,2011-2018,4,7.48529108130044,0.014
1931-1940,1971-1980,4,9.450316145828934,0.022
1961-1970,2011-2018,5,7.148028203437145,0.029
1911-1920,2011-2018,10,8.729949148888556,0.04
1961-1970,2001-2010,4,7.473881889373922,0.049
