,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,2.930765917876086,2.802695809359366,3.0878797636641404,3.1511872980811386,3.405340249653389,4.615494703675968,5.160575136754797,4.058337616234288,5.425090706233284,4.44236016637132,5.319379380727898
1911-1920,2.930765917876086,0.0,2.6274117574837965,2.5297627580777786,2.655414862218422,3.328705483298331,4.17627753854624,4.852807790710165,3.8950477356133613,5.265253961851439,3.988405530129947,5.134825476954724
1921-1930,2.802695809359366,2.6274117574837965,0.0,2.7244568203246096,2.557657221478966,3.330855729679028,4.410720352579394,4.95621504042922,3.8485490136145493,5.039733906661717,4.139715060757575,4.8865724939894255
1931-1940,3.0878797636641404,2.5297627580777786,2.7244568203246096,0.0,2.5506983421380713,3.3403855901950474,4.0555476979764755,4.759894014844587,3.674261776015111,4.9261598562893445,3.841028010994653,4.885322428297978
1941-1950,3.1511872980811386,2.655414862218422,2.557657221478966,2.5506983421380713,0.0,3.40983235412935,4.246292535503259,4.50976495328064,3.7445836846589953,4.77001280529869,3.761754464923465,4.769575307928099
1951-1960,3.405340249653389,3.328705483298331,3.330855729679028,3.3403855901950474,3.40983235412935,0.0,4.184542038166565,4.908996726010653,3.677369100765691,5.217959638350356,4.331430940885048,5.149024722712932
1961-1970,4.615494703675968,4.17627753854624,4.410720352579394,4.0555476979764755,4.246292535503259,4.184542038166565,0.0,4.759647708573668,4.3534956751978875,4.852869097246071,4.160237438315253,5.347471679510666
1971-1980,5.160575136754797,4.852807790710165,4.95621504042922,4.759894014844587,4.50976495328064,4.908996726010653,4.759647708573668,0.0,4.666570958414714,4.949619115397889,4.404137604554096,5.149418147770897
1981-1990,4.058337616234288,3.8950477356133613,3.8485490136145493,3.674261776015111,3.7445836846589953,3.677369100765691,4.3534956751978875,4.666570958414714,0.0,4.557548411320609,3.9912218723237065,4.564334635150182
1991-2000,5.425090706233284,5.265253961851439,5.039733906661717,4.9261598562893445,4.77001280529869,5.217959638350356,4.852869097246071,4.949619115397889,4.557548411320609,0.0,4.08727430619118,4.779859205300215
2001-2010,4.44236016637132,3.988405530129947,4.139715060757575,3.841028010994653,3.761754464923465,4.331430940885048,4.160237438315253,4.404137604554096,3.9912218723237065,4.08727430619118,0.0,4.576669009311068
2011-2018,5.319379380727898,5.134825476954724,4.8865724939894255,4.885322428297978,4.769575307928099,5.149024722712932,5.347471679510666,5.149418147770897,4.564334635150182,4.779859205300215,4.576669009311068,0.0
