,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.016,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1911-1920,0.016,0.0,0.221,0.137,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.0
1921-1930,0.009,0.221,0.0,0.033,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
1931-1940,0.0,0.137,0.033,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1941-1950,0.0,0.002,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0
1951-1960,0.0,0.0,0.001,0.0,0.0,0.0,0.058,0.005,0.001,0.0,0.0,0.0
1961-1970,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.01,0.004,0.001,0.0,0.0
1971-1980,0.0,0.0,0.0,0.0,0.0,0.005,0.01,0.0,0.001,0.0,0.0,0.0
1981-1990,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.001,0.0,0.018,0.001,0.068
1991-2000,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.018,0.0,0.415,0.593
2001-2010,0.0,0.001,0.0,0.0,0.008,0.0,0.0,0.0,0.001,0.415,0.0,0.073
2011-2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.593,0.073,0.0
