timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1941-1950,4,3.9443872178994677,0.0
1901-1910,1931-1940,3,2.966578325212555,0.0
1901-1910,1961-1970,6,3.8438286492973086,0.0
1901-1910,1951-1960,5,4.055336186035438,0.0
1901-1910,1971-1980,7,4.287421577119248,0.0
1901-1910,1981-1990,8,3.931852135978388,0.0
1901-1910,2001-2010,10,3.6760263156374435,0.0
1901-1910,1991-2000,9,3.62096141771927,0.0
1911-1920,1971-1980,6,5.951755526846335,0.0
1911-1920,1961-1970,5,5.871378207753738,0.0
1901-1910,2011-2018,11,3.816650184840607,0.0
1911-1920,1951-1960,4,5.877116643782922,0.0
1911-1920,1981-1990,7,5.7828218920765995,0.0
1921-1930,1961-1970,4,5.167783300459752,0.0
1911-1920,2011-2018,10,5.811944913488918,0.0
1911-1920,1991-2000,8,5.669799347252487,0.0
1931-1940,1951-1960,2,4.115389036277099,0.0
1931-1940,1961-1970,3,3.872162958493177,0.0
1931-1940,1971-1980,4,4.38364839035867,0.0
1921-1930,1941-1950,2,5.227054756410518,0.0
1921-1930,1971-1980,5,5.352499390930576,0.0
1921-1930,2001-2010,8,5.129536700156001,0.0
1921-1930,1991-2000,7,4.987429565327586,0.0
1921-1930,1981-1990,6,5.032029645462555,0.0
1921-1930,2011-2018,9,5.074794680663245,0.0
1941-1950,1971-1980,3,4.454409761391507,0.0
1941-1950,1961-1970,2,3.9295767940786863,0.0
1941-1950,1951-1960,1,4.263308047107426,0.0
1931-1940,2011-2018,8,4.018250955058684,0.0
1931-1940,2001-2010,7,3.558419724848958,0.0
1931-1940,1991-2000,6,3.8102243989521263,0.0
1931-1940,1981-1990,5,3.917838674304684,0.0
1971-1980,2011-2018,4,3.3211276209079648,0.0
1961-1970,2011-2018,5,3.341964171227379,0.0
1951-1960,2001-2010,5,3.8758439015055703,0.0
1951-1960,1991-2000,4,3.446535745217989,0.0
1951-1960,2011-2018,6,3.476345806265792,0.0
1971-1980,1991-2000,2,3.4491718105702227,0.0
1971-1980,2001-2010,3,3.9139324232289274,0.0
1941-1950,1981-1990,4,4.246116210239515,0.0
1941-1950,1991-2000,5,3.9108269286551884,0.0
1941-1950,2011-2018,7,4.218263983176178,0.0
1961-1970,2001-2010,4,3.6378017398752243,0.0
1951-1960,1981-1990,3,3.312884825473007,0.001
1981-1990,2001-2010,2,3.1075917509805255,0.001
1921-1930,1951-1960,3,4.959115038151727,0.001
1911-1920,2001-2010,9,5.685813886395352,0.001
1961-1970,1991-2000,3,3.2000146434327252,0.001
1971-1980,1981-1990,1,3.0709684403210247,0.001
1911-1920,1941-1950,3,5.939011488287347,0.002
1931-1940,1941-1950,1,3.648747095621592,0.003
1961-1970,1981-1990,2,3.053947230902472,0.004
1951-1960,1971-1980,2,3.0475040594915535,0.005
1941-1950,2001-2010,6,3.633660151382175,0.008
1901-1910,1921-1930,2,4.414522129060353,0.009
1961-1970,1971-1980,1,3.013279368221273,0.01
1901-1910,1911-1920,1,5.045671486833887,0.016
1981-1990,1991-2000,1,2.8594673121874465,0.018
1921-1930,1931-1940,1,4.211261069432501,0.033
