,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,5.32991857206895,4.324613382902784,5.157817641932193,5.144857842018913,4.801059750774601,4.894234998918255,5.039715961388851,5.748021076851935,5.737387246615272,5.4728139031305165,5.5211345312115325
1911-1920,5.32991857206895,0.0,5.771088405962052,5.9299347029723455,6.256964907897103,6.0332696884188675,5.819432422688759,5.755683357677395,6.625396876836481,6.270378116003729,6.098591125431381,6.05403744076118
1921-1930,4.324613382902784,5.771088405962052,0.0,4.537496587104809,5.1821654829158295,4.657262703661739,4.400255996276548,5.0548840026199775,5.003156065565092,4.966805959222312,4.720798985310339,4.809797115200354
1931-1940,5.157817641932193,5.9299347029723455,4.537496587104809,0.0,5.14333050003866,4.4179900127294855,4.443801857484932,4.734590778622034,4.541148067288587,4.310995376528402,4.101155963517979,4.39456513823234
1941-1950,5.144857842018913,6.256964907897103,5.1821654829158295,5.14333050003866,0.0,5.038392796890222,4.858844335375736,5.046523172025371,5.390978368021522,5.554936503425354,5.281333496635633,5.450762989012812
1951-1960,4.801059750774601,6.0332696884188675,4.657262703661739,4.4179900127294855,5.038392796890222,0.0,4.287763870119509,4.316727095479116,4.997648834170651,4.7123545679825884,4.531965249909404,4.661179535741454
1961-1970,4.894234998918255,5.819432422688759,4.400255996276548,4.443801857484932,4.858844335375736,4.287763870119509,0.0,4.544892936210696,4.398584513066278,4.38358274766479,4.303825484644843,4.471350907798827
1971-1980,5.039715961388851,5.755683357677395,5.0548840026199775,4.734590778622034,5.046523172025371,4.316727095479116,4.544892936210696,0.0,4.946505116598281,4.770187347143966,4.884015414949408,4.9000046862937365
1981-1990,5.748021076851935,6.625396876836481,5.003156065565092,4.541148067288587,5.390978368021522,4.997648834170651,4.398584513066278,4.946505116598281,0.0,4.499725700530822,4.389929922087424,4.640955451910764
1991-2000,5.737387246615272,6.270378116003729,4.966805959222312,4.310995376528402,5.554936503425354,4.7123545679825884,4.38358274766479,4.770187347143966,4.499725700530822,0.0,3.5319335630829887,3.904408152327933
2001-2010,5.4728139031305165,6.098591125431381,4.720798985310339,4.101155963517979,5.281333496635633,4.531965249909404,4.303825484644843,4.884015414949408,4.389929922087424,3.5319335630829887,0.0,3.4679080455576163
2011-2018,5.5211345312115325,6.05403744076118,4.809797115200354,4.39456513823234,5.450762989012812,4.661179535741454,4.471350907798827,4.9000046862937365,4.640955451910764,3.904408152327933,3.4679080455576163,0.0
