,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2011-2018
1901-1910,0.0,81.59988159300251,139.0479927592344,50.31057864470065,76.15276007543032,145.13495643958092,68.45585755947168,72.88155609119684,113.90371330802189,79.92683381276315,57.08438908249364
1911-1920,81.59988159300251,0.0,150.16703370185806,77.09920179968402,88.15744073351904,154.62029989496978,89.95889875280712,82.18387168328034,130.81963253993527,123.92482938571983,86.22949400342011
1921-1930,139.0479927592344,150.16703370185806,0.0,115.90250849058626,136.92852199787703,163.4429861478639,132.93200458331194,156.2619530328221,180.98207889690778,176.0050316424487,142.24403504854658
1931-1940,50.31057864470065,77.09920179968402,115.90250849058626,0.0,60.863713911758104,134.34214207898316,61.34480132084,70.63505500099633,115.92863842407324,99.6128672081237,61.579181731105024
1941-1950,76.15276007543032,88.15744073351904,136.92852199787703,60.863713911758104,0.0,142.88300000519007,76.78064382643879,81.52656337720218,118.97556178674911,124.64253845581325,85.55394952281713
1951-1960,145.13495643958092,154.62029989496978,163.4429861478639,134.34214207898316,142.88300000519007,0.0,141.54464926412462,157.34283880330153,181.05857973108382,174.71410323429842,149.51689235988314
1961-1970,68.45585755947168,89.95889875280712,132.93200458331194,61.34480132084,76.78064382643879,141.54464926412462,0.0,86.38747068023032,127.124295504705,116.03069797919228,74.24705225885576
1971-1980,72.88155609119684,82.18387168328034,156.2619530328221,70.63505500099633,81.52656337720218,157.34283880330153,86.38747068023032,0.0,119.75424079750525,106.9525113631788,78.82315983198625
1981-1990,113.90371330802189,130.81963253993527,180.98207889690778,115.92863842407324,118.97556178674911,181.05857973108382,127.124295504705,119.75424079750525,0.0,127.84042501573279,127.99168874991697
1991-2000,79.92683381276315,123.92482938571983,176.0050316424487,99.6128672081237,124.64253845581325,174.71410323429842,116.03069797919228,106.9525113631788,127.84042501573279,0.0,98.02074958276735
2011-2018,57.08438908249364,86.22949400342011,142.24403504854658,61.579181731105024,85.55394952281713,149.51689235988314,74.24705225885576,78.82315983198625,127.99168874991697,98.02074958276735,0.0
