synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s42158,atmosphäre,1901-1910,1911-1920,0.06415874144711661,0.09591563812479618
s42158,atmosphäre,1911-1920,1921-1930,0.058058834309367445,0.04074221616357421
s42158,atmosphäre,1921-1930,1931-1940,0.05725959455793351,0.11012800370877911
s42158,atmosphäre,1931-1940,1941-1950,0.1003615948248742,0.10133740596250289
s42158,atmosphäre,1941-1950,1951-1960,0.07392099302011457,0.013693093052430244
s42158,atmosphäre,1951-1960,1961-1970,0.13644860591893193,0.3655500424818919
s42158,atmosphäre,1961-1970,1971-1980,0.03671289763481653,0.09062229072647768
s42158,atmosphäre,1971-1980,1981-1990,0.196901605973542,0.11400129471361661
s42158,atmosphäre,1981-1990,1991-2000,0.10876299077488225,0.1535279329905919
s42158,atmosphäre,1991-2000,2001-2010,0.03602591098767444,0.06145935468421369
