,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,52.39814358617518,46.35373444562539,38.262958210950735,55.9268699783544,39.99524657232971,41.4409845993703,33.84843780348292,38.6898329734238,38.99933266933402,48.40982344659166,43.84732000400891
1911-1920,52.39814358617518,0.0,69.74607929051236,53.208186615702715,51.291786822285935,33.286126733278834,33.10869232738928,43.06225535824832,40.09559770797227,34.094807423606774,27.369997866988562,30.707438377525946
1921-1930,46.35373444562539,69.74607929051236,0.0,52.075028392408996,69.22492891193767,56.904287922425034,57.97754215961027,51.36402242050315,54.29050623485544,56.40138645369839,64.43113963793954,58.87236490482591
1931-1940,38.262958210950735,53.208186615702715,52.075028392408996,0.0,54.52196086273123,38.875566980201974,40.385088247372046,33.14895115290226,38.769627168115235,38.30957349647269,46.27477092251552,41.13988721834866
1941-1950,55.9268699783544,51.291786822285935,69.22492891193767,54.52196086273123,0.0,49.809767388702504,47.26777495970229,50.5272462142758,51.31262462766346,48.5983137428503,49.5482906809299,46.97183409665663
1951-1960,39.99524657232971,33.286126733278834,56.904287922425034,38.875566980201974,49.809767388702504,0.0,26.318743810996242,28.443492765716762,28.252368434006655,23.998056435306694,26.877630571757667,27.43876923470973
1961-1970,41.4409845993703,33.10869232738928,57.97754215961027,40.385088247372046,47.26777495970229,26.318743810996242,0.0,27.1893373382412,30.422766026296863,24.81085289256678,27.777405840329678,26.158252535073927
1971-1980,33.84843780348292,43.06225535824832,51.36402242050315,33.14895115290226,50.5272462142758,28.443492765716762,27.1893373382412,0.0,28.036348164209482,25.67204691261224,35.050288093636155,30.864544278806758
1981-1990,38.6898329734238,40.09559770797227,54.29050623485544,38.769627168115235,51.31262462766346,28.252368434006655,30.422766026296863,28.036348164209482,0.0,19.60895411373586,29.927656576568076,29.23818728682916
1991-2000,38.99933266933402,34.094807423606774,56.40138645369839,38.30957349647269,48.5983137428503,23.998056435306694,24.81085289256678,25.67204691261224,19.60895411373586,0.0,22.05253929196344,22.977322058502967
2001-2010,48.40982344659166,27.369997866988562,64.43113963793954,46.27477092251552,49.5482906809299,26.877630571757667,27.777405840329678,35.050288093636155,29.927656576568076,22.05253929196344,0.0,22.11033833818148
2011-2018,43.84732000400891,30.707438377525946,58.87236490482591,41.13988721834866,46.97183409665663,27.43876923470973,26.158252535073927,30.864544278806758,29.23818728682916,22.977322058502967,22.11033833818148,0.0
