,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.128,0.033,0.06,0.122,0.027,0.472,0.067,0.06,0.102,0.653,0.036
1911-1920,0.128,0.0,0.759,0.886,0.67,0.605,0.486,0.461,0.436,0.628,0.75,0.7
1921-1930,0.033,0.759,0.0,0.69,0.657,0.449,0.363,0.875,0.523,0.859,0.288,0.723
1931-1940,0.06,0.886,0.69,0.0,0.449,0.897,0.341,0.457,0.627,0.776,0.614,0.844
1941-1950,0.122,0.67,0.657,0.449,0.0,0.267,0.515,0.707,0.378,0.429,0.46,0.359
1951-1960,0.027,0.605,0.449,0.897,0.267,0.0,0.276,0.431,0.821,0.785,0.331,0.872
1961-1970,0.472,0.486,0.363,0.341,0.515,0.276,0.0,0.436,0.387,0.533,0.797,0.344
1971-1980,0.067,0.461,0.875,0.457,0.707,0.431,0.436,0.0,0.664,0.756,0.374,0.784
1981-1990,0.06,0.436,0.523,0.627,0.378,0.821,0.387,0.664,0.0,0.989,0.522,0.671
1991-2000,0.102,0.628,0.859,0.776,0.429,0.785,0.533,0.756,0.989,0.0,0.595,0.738
2001-2010,0.653,0.75,0.288,0.614,0.46,0.331,0.797,0.374,0.522,0.595,0.0,0.28
2011-2018,0.036,0.7,0.723,0.844,0.359,0.872,0.344,0.784,0.671,0.738,0.28,0.0
