synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s9544,block,1901-1910,1911-1920,0.9065742897892235,0.2592045924262761
s9544,block,1911-1920,1921-1930,0.19096813665323165,0.060915334815273066
s9544,block,1921-1930,1931-1940,0.3641609335494982,0.20140588006889693
s9544,block,1931-1940,1941-1950,0.15792291801692593,0.0751490136856977
s9544,block,1941-1950,1951-1960,0.035063421903409435,0.046721795318962214
s9544,block,1951-1960,1961-1970,0.04161365600345643,0.058856684177251366
s9544,block,1961-1970,1971-1980,0.06676904539631973,0.07123682429391985
s9544,block,1971-1980,1981-1990,0.03492858224939877,0.04932542292139634
s9544,block,1981-1990,1991-2000,0.08226340642259701,0.08721120331662406
s9544,block,1991-2000,2001-2010,0.022270205974783165,0.09048444720745318
