synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s10206,decke,1901-1910,1911-1920,0.07463185635541594,0.08433439925314419
s10206,decke,1911-1920,1921-1930,0.13245093779479875,0.07073757448584253
s10206,decke,1921-1930,1931-1940,0.1240201074628468,0.11121385253769135
s10206,decke,1931-1940,1941-1950,0.040508133553902696,0.0940730476736297
s10206,decke,1941-1950,1951-1960,0.05375273379971135,0.0932821659644098
s10206,decke,1951-1960,1961-1970,0.1331606351500586,0.05195287141559903
s10206,decke,1961-1970,1971-1980,0.12192517909290039,0.06265085396726855
s10206,decke,1971-1980,1981-1990,0.08182824781377257,0.12264563438453287
s10206,decke,1981-1990,1991-2000,0.07522654209229099,0.08180772263678397
s10206,decke,1991-2000,2001-2010,0.03013985431256424,0.13000329326899965
