timespan_1,timespan_2,distance,drift_magnitude,p_value
1911-1920,2011-2018,10,52.1969870772178,0.0
1911-1920,1921-1930,1,60.91639849299654,0.001
1921-1930,1961-1970,4,54.450860233361944,0.006
1921-1930,1981-1990,6,49.74271347554166,0.011
1911-1920,1991-2000,8,44.77827150177537,0.015
1901-1910,1911-1920,1,51.61265070823992,0.017
1961-1970,2011-2018,5,46.260560270037786,0.027
1911-1920,2001-2010,9,42.542907946519584,0.032
1911-1920,1951-1960,4,53.6165623856032,0.039
1911-1920,1971-1980,6,39.57942506622787,0.041
1981-1990,2011-2018,3,40.85653954805254,0.043
