synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s10919,diarium,1901-1910,1911-1920,0.18473217202188333,0.47529452826279067
s10919,diarium,1911-1920,1921-1930,0.05182486276577345,0.057999165549396534
s10919,diarium,1921-1930,1931-1940,0.037791218626964065,0.0807967658688521
s10919,diarium,1931-1940,1941-1950,0.04741848385348174,0.11030357299552257
s10919,diarium,1941-1950,1951-1960,0.113066312653932,0.09739382294833532
s10919,diarium,1951-1960,1961-1970,0.049269707848049904,0.13981912277674408
s10919,diarium,1961-1970,1971-1980,0.08305497897951471,0.042177921094966826
s10919,diarium,1971-1980,1981-1990,0.08203385426124771,0.1440113015922326
s10919,diarium,1981-1990,1991-2000,0.15370357897273326,0.12508182044749278
s10919,diarium,1991-2000,2001-2010,0.0560538673383911,0.031996967488171345
