,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,97.98200722813058,105.34490597145756,117.86589593463263,74.9875519463244,107.12016550769528,148.63020362818213,117.87148745050621,77.82151415447737,80.0028531339647,81.24334619790444
1911-1920,97.98200722813058,0.0,102.46018996961708,111.98251214793684,78.93971455125445,116.58212531637926,138.91706264264673,108.49889602307393,70.36069599263361,78.11007987613007,87.55378868966916
1921-1930,105.34490597145756,102.46018996961708,0.0,69.406548629206,86.29263886491785,83.18822805107406,97.16630225396698,71.59735152421472,71.17429450873487,56.22914492524691,60.531159442607034
1931-1940,117.86589593463263,111.98251214793684,69.406548629206,0.0,100.88345832293567,97.9906060844506,77.67326167160753,74.51743934564831,83.54704431397106,68.00278204651705,66.55358654430744
1941-1950,74.9875519463244,78.93971455125445,86.29263886491785,100.88345832293567,0.0,94.01662619914211,133.43392192021054,93.77683101138489,52.406716282476026,58.866940063365085,67.62002534238823
1961-1970,107.12016550769528,116.58212531637926,83.18822805107406,97.9906060844506,94.01662619914211,0.0,128.42866554474847,101.97800863647537,91.9535433590894,78.89853802455009,76.24155397090222
1971-1980,148.63020362818213,138.91706264264673,97.16630225396698,77.67326167160753,133.43392192021054,128.42866554474847,0.0,93.78072789812546,112.7860230238568,98.9659385424423,102.30861054932727
1981-1990,117.87148745050621,108.49889602307393,71.59735152421472,74.51743934564831,93.77683101138489,101.97800863647537,93.78072789812546,0.0,82.95733888897396,68.41499637774375,74.66594360770438
1991-2000,77.82151415447737,70.36069599263361,71.17429450873487,83.54704431397106,52.406716282476026,91.9535433590894,112.7860230238568,82.95733888897396,0.0,34.324253101029456,53.39494757845982
2001-2010,80.0028531339647,78.11007987613007,56.22914492524691,68.00278204651705,58.866940063365085,78.89853802455009,98.9659385424423,68.41499637774375,34.324253101029456,0.0,40.13671378562242
2011-2018,81.24334619790444,87.55378868966916,60.531159442607034,66.55358654430744,67.62002534238823,76.24155397090222,102.30861054932727,74.66594360770438,53.39494757845982,40.13671378562242,0.0
