,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,70.76852429759735,67.29629561330195,69.38561959772541,58.31344868116899,85.31563798361505,67.79422495451864,54.75326165629944,88.24810687258193,50.11718388389491,71.38818511875964,80.60442235219774
1911-1920,70.76852429759735,0.0,73.58285742379162,63.76683800797629,59.413641265172316,99.82474967001224,75.04652331688573,78.3896656987441,82.27372747084688,73.05698757006236,102.74487025579755,98.90671809537955
1921-1930,67.29629561330195,73.58285742379162,0.0,71.79152023215086,66.58672817201679,91.43856122264732,71.28328976055973,72.09555641659229,82.61782982512675,63.83462211818649,82.73498170336293,88.61198525567288
1931-1940,69.38561959772541,63.76683800797629,71.79152023215086,0.0,55.5602319194977,103.15219404853688,69.28895551226883,80.0427607686786,76.55197092264173,70.93140929226824,105.21479566819937,101.91559903288403
1941-1950,58.31344868116899,59.413641265172316,66.58672817201679,55.5602319194977,0.0,86.7334282967505,65.23643904263234,64.0767278278424,65.85174106155273,57.25755189362559,91.0258671359272,94.03308715736011
1951-1960,85.31563798361505,99.82474967001224,91.43856122264732,103.15219404853688,86.7334282967505,0.0,95.11960036330674,82.79892288841671,101.4220977608648,67.78715159693616,89.66764181696877,97.45127944236705
1961-1970,67.79422495451864,75.04652331688573,71.28328976055973,69.28895551226883,65.23643904263234,95.11960036330674,0.0,77.92485043426862,78.2256009849238,66.02028425154252,94.02798434961971,88.36648124586848
1971-1980,54.75326165629944,78.3896656987441,72.09555641659229,80.0427607686786,64.0767278278424,82.79892288841671,77.92485043426862,0.0,89.63429154876701,53.32148292938466,72.40265622919668,82.99354330625684
1981-1990,88.24810687258193,82.27372747084688,82.61782982512675,76.55197092264173,65.85174106155273,101.4220977608648,78.2256009849238,89.63429154876701,0.0,80.9142656343411,108.90286452906336,113.5797460678658
1991-2000,50.11718388389491,73.05698757006236,63.83462211818649,70.93140929226824,57.25755189362559,67.78715159693616,66.02028425154252,53.32148292938466,80.9142656343411,0.0,69.3261275998469,76.88430455601173
2001-2010,71.38818511875964,102.74487025579755,82.73498170336293,105.21479566819937,91.0258671359272,89.66764181696877,94.02798434961971,72.40265622919668,108.90286452906336,69.3261275998469,0.0,84.40110692214151
2011-2018,80.60442235219774,98.90671809537955,88.61198525567288,101.91559903288403,94.03308715736011,97.45127944236705,88.36648124586848,82.99354330625684,113.5797460678658,76.88430455601173,84.40110692214151,0.0
