,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,30.09929171970351,32.570198480946935,27.20334550521735,26.06871342764398,27.03913254682118,24.906741230202986,35.24414990215821,26.905231056631848,28.67086710305418,32.25857217638058,26.50165027804005
1911-1920,30.09929171970351,0.0,35.21635417087113,32.04231615660694,36.09648900944135,37.65478849920459,33.121360679128415,34.27626722287406,37.76542988463548,34.39979494297517,41.80325916611996,38.27139929576127
1921-1930,32.570198480946935,35.21635417087113,0.0,36.15086212936544,35.541810400372036,38.165163945192866,34.42875570481947,41.061518099131206,38.674865534833714,37.58059566896547,39.68773060796066,36.98445245219194
1931-1940,27.20334550521735,32.04231615660694,36.15086212936544,0.0,29.983215648197643,32.359938972223574,28.03729152300684,34.99172331032569,27.633780540959513,34.13459174423353,35.4237045289183,28.539375926902885
1941-1950,26.06871342764398,36.09648900944135,35.541810400372036,29.983215648197643,0.0,23.410043446755896,25.24952630673426,40.4122516773648,25.32542447057873,35.442915837747115,31.660393447828998,25.42157355178694
1951-1960,27.03913254682118,37.65478849920459,38.165163945192866,32.359938972223574,23.410043446755896,0.0,25.32688957640272,41.880113036661804,24.02666794263732,36.52487886284179,29.45117521703791,24.130842127351666
1961-1970,24.906741230202986,33.121360679128415,34.42875570481947,28.03729152300684,25.24952630673426,25.32688957640272,0.0,35.53490651482018,25.775462348804073,32.349870302646835,26.185425003183898,24.360735823369705
1971-1980,35.24414990215821,34.27626722287406,41.061518099131206,34.99172331032569,40.4122516773648,41.880113036661804,35.53490651482018,0.0,40.32440263040958,36.513217372251184,42.58072697804096,39.87682143542726
1981-1990,26.905231056631848,37.76542988463548,38.674865534833714,27.633780540959513,25.32542447057873,24.02666794263732,25.775462348804073,40.32440263040958,0.0,36.42364103426343,30.846013882566112,23.396824717901858
1991-2000,28.67086710305418,34.39979494297517,37.58059566896547,34.13459174423353,35.442915837747115,36.52487886284179,32.349870302646835,36.513217372251184,36.42364103426343,0.0,37.1252091171311,34.93296263112713
2001-2010,32.25857217638058,41.80325916611996,39.68773060796066,35.4237045289183,31.660393447828998,29.45117521703791,26.185425003183898,42.58072697804096,30.846013882566112,37.1252091171311,0.0,30.053528687946383
2011-2018,26.50165027804005,38.27139929576127,36.98445245219194,28.539375926902885,25.42157355178694,24.130842127351666,24.360735823369705,39.87682143542726,23.396824717901858,34.93296263112713,30.053528687946383,0.0
