,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,34.35169933070676,34.55885840066631,32.0835008138227,33.347075538025834,43.71783578407045,41.4089191821703,40.313744411407,30.32817859782213,44.69112464886543,43.51294707270656,37.430508039145586
1911-1920,34.35169933070676,0.0,27.591096657781815,28.4327784026144,31.779707131263482,34.49033805287829,31.200952613872108,30.939130279943036,29.027731483352525,33.71490029421196,30.631327684119285,31.317361813073035
1921-1930,34.55885840066631,27.591096657781815,0.0,27.876323838232807,28.53938531750032,30.33146245647931,32.36483647915803,29.318038211892116,31.07138147113977,31.244081884107594,28.532919028531648,28.302213097258715
1931-1940,32.0835008138227,28.4327784026144,27.876323838232807,0.0,26.397738116581127,32.08026778487671,29.638503893865003,29.24715850480942,27.99236837605325,34.04939995798954,34.439096176165826,31.829375143033754
1941-1950,33.347075538025834,31.779707131263482,28.53938531750032,26.397738116581127,0.0,30.59668286940416,32.28371106036371,31.92150440611337,32.046606709053115,35.70462757658036,34.785710561195756,34.05504148645237
1951-1960,43.71783578407045,34.49033805287829,30.33146245647931,32.08026778487671,30.59668286940416,0.0,31.83691788892028,29.731379751475547,41.40726168264892,31.92254966034878,31.098325171657542,36.15918614935994
1961-1970,41.4089191821703,31.200952613872108,32.36483647915803,29.638503893865003,32.28371106036371,31.83691788892028,0.0,29.811452089730963,35.78042238751608,28.688249019936364,31.663411559659803,35.642839341825265
1971-1980,40.313744411407,30.939130279943036,29.318038211892116,29.24715850480942,31.92150440611337,29.731379751475547,29.811452089730963,0.0,35.642672138190626,31.598600257160793,30.96711290987955,31.28715863187632
1981-1990,30.32817859782213,29.027731483352525,31.07138147113977,27.99236837605325,32.046606709053115,41.40726168264892,35.78042238751608,35.642672138190626,0.0,38.69193542225496,37.589747296673295,33.72219349319181
1991-2000,44.69112464886543,33.71490029421196,31.244081884107594,34.04939995798954,35.70462757658036,31.92254966034878,28.688249019936364,31.598600257160793,38.69193542225496,0.0,31.14535705551569,33.779029847233296
2001-2010,43.51294707270656,30.631327684119285,28.532919028531648,34.439096176165826,34.785710561195756,31.098325171657542,31.663411559659803,30.96711290987955,37.589747296673295,31.14535705551569,0.0,31.201407723722514
2011-2018,37.430508039145586,31.317361813073035,28.302213097258715,31.829375143033754,34.05504148645237,36.15918614935994,35.642839341825265,31.28715863187632,33.72219349319181,33.779029847233296,31.201407723722514,0.0
