,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,24.06124436336612,26.859899323913485,23.688089635552128,39.146862242349535,28.167512329846232,25.43326618463018,25.523011655418458,27.0891456294783,41.923687093145034,41.0711080000712,48.71163817693546
1911-1920,24.06124436336612,0.0,25.898928613498075,23.30405768319741,39.623158837605374,29.096625823177142,25.596653839278773,26.369915128996382,28.83605206359264,45.49224758306699,43.71870474181082,49.52085957222045
1921-1930,26.859899323913485,25.898928613498075,0.0,29.423250046721137,39.54289164352793,31.67850910873142,27.008333550343405,26.66976754725429,27.443973051112724,46.70131592028359,44.69952523907934,52.2958594792513
1931-1940,23.688089635552128,23.30405768319741,29.423250046721137,0.0,37.63347188425739,28.888275946315105,26.596440099790602,29.15615788196877,30.912661525262415,42.91780810067552,45.76304947304137,46.7360945061707
1941-1950,39.146862242349535,39.623158837605374,39.54289164352793,37.63347188425739,0.0,44.571579401274064,36.231127757636685,44.6805072143787,46.88691350431236,43.79333833094572,42.32956069734478,45.34042993604679
1951-1960,28.167512329846232,29.096625823177142,31.67850910873142,28.888275946315105,44.571579401274064,0.0,29.58196716450959,27.77592950061803,27.99133581759939,47.16723009792353,50.09438336107699,56.26002050668615
1961-1970,25.43326618463018,25.596653839278773,27.008333550343405,26.596440099790602,36.231127757636685,29.58196716450959,0.0,26.0397829453542,30.613885552721335,42.35057744355732,39.64039892783437,45.53666768506966
1971-1980,25.523011655418458,26.369915128996382,26.66976754725429,29.15615788196877,44.6805072143787,27.77592950061803,26.0397829453542,0.0,23.234981360849705,46.119505011283046,45.80082656504983,55.16717433007677
1981-1990,27.0891456294783,28.83605206359264,27.443973051112724,30.912661525262415,46.88691350431236,27.99133581759939,30.613885552721335,23.234981360849705,0.0,49.721492595133064,50.44996088237146,58.87866279358466
1991-2000,41.923687093145034,45.49224758306699,46.70131592028359,42.91780810067552,43.79333833094572,47.16723009792353,42.35057744355732,46.119505011283046,49.721492595133064,0.0,42.50264517264255,46.99536989506327
2001-2010,41.0711080000712,43.71870474181082,44.69952523907934,45.76304947304137,42.32956069734478,50.09438336107699,39.64039892783437,45.80082656504983,50.44996088237146,42.50264517264255,0.0,45.5219003206895
2011-2018,48.71163817693546,49.52085957222045,52.2958594792513,46.7360945061707,45.34042993604679,56.26002050668615,45.53666768506966,55.16717433007677,58.87866279358466,46.99536989506327,45.5219003206895,0.0
