,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,0.398,0.193,0.307,0.128,0.033,0.306,0.379,0.44,0.114,0.902
1911-1920,0.398,0.0,0.736,0.698,0.945,0.021,0.284,0.522,0.304,0.075,0.735
1921-1930,0.193,0.736,0.0,0.319,0.742,0.012,0.101,0.573,0.257,0.06,0.865
1931-1940,0.307,0.698,0.319,0.0,0.539,0.046,0.899,0.72,0.865,0.34,0.888
1941-1950,0.128,0.945,0.742,0.539,0.0,0.01,0.219,0.77,0.359,0.056,0.883
1951-1960,0.033,0.021,0.012,0.046,0.01,0.0,0.204,0.11,0.221,0.114,0.095
1961-1970,0.306,0.284,0.101,0.899,0.219,0.204,0.0,0.552,0.746,0.383,0.776
1971-1980,0.379,0.522,0.573,0.72,0.77,0.11,0.552,0.0,0.507,0.191,0.601
1981-1990,0.44,0.304,0.257,0.865,0.359,0.221,0.746,0.507,0.0,0.88,0.641
2001-2010,0.114,0.075,0.06,0.34,0.056,0.114,0.383,0.191,0.88,0.0,0.312
2011-2018,0.902,0.735,0.865,0.888,0.883,0.095,0.776,0.601,0.641,0.312,0.0
