,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,62.81900643375677,38.95331534104875,42.84694897594249,47.06257293990228,54.429063128647705,44.19060535362811,49.94513802782786,39.98325648726965,32.47315137002661,40.19392154424688,44.96321504930717
1911-1920,62.81900643375677,0.0,55.643524003117584,62.34798914652388,70.07454235245179,54.6329231544859,59.59275459735947,51.14697226976057,57.74748859251633,60.34841990495868,54.947101580475874,52.79050977289786
1921-1930,38.95331534104875,55.643524003117584,0.0,43.0118042075567,52.3384610868969,45.71003543391698,42.229297974085775,39.735826630741876,41.26206199181024,37.79199468443687,40.776466683795185,38.95607733419301
1931-1940,42.84694897594249,62.34798914652388,43.0118042075567,0.0,52.64162076378902,51.72399927628952,53.75321017406353,52.74436990590933,46.791448378868374,46.28738798131531,47.46509394472263,47.89311224875104
1941-1950,47.06257293990228,70.07454235245179,52.3384610868969,52.64162076378902,0.0,64.0819795269489,57.299567539931594,60.44848322822678,49.181673832806744,45.27819456056293,49.3068870643381,55.52497428938773
1951-1960,54.429063128647705,54.6329231544859,45.71003543391698,51.72399927628952,64.0819795269489,0.0,42.656863971281126,35.49031293196835,47.32638451574636,51.503171246500976,46.02152015506735,36.40382345259929
1961-1970,44.19060535362811,59.59275459735947,42.229297974085775,53.75321017406353,57.299567539931594,42.656863971281126,0.0,34.54163868977487,38.619385765833876,37.26934332336571,38.22580170747883,33.72178980654564
1971-1980,49.94513802782786,51.14697226976057,39.735826630741876,52.74436990590933,60.44848322822678,35.49031293196835,34.54163868977487,0.0,37.83178996400204,40.74204668687025,36.266467059937206,22.9075396743481
1981-1990,39.98325648726965,57.74748859251633,41.26206199181024,46.791448378868374,49.181673832806744,47.32638451574636,38.619385765833876,37.83178996400204,0.0,30.38261107783059,21.316547596806362,30.396923710628474
1991-2000,32.47315137002661,60.34841990495868,37.79199468443687,46.28738798131531,45.27819456056293,51.503171246500976,37.26934332336571,40.74204668687025,30.38261107783059,0.0,31.42722185171062,36.21642012172594
2001-2010,40.19392154424688,54.947101580475874,40.776466683795185,47.46509394472263,49.3068870643381,46.02152015506735,38.22580170747883,36.266467059937206,21.316547596806362,31.42722185171062,0.0,30.42772680572885
2011-2018,44.96321504930717,52.79050977289786,38.95607733419301,47.89311224875104,55.52497428938773,36.40382345259929,33.72178980654564,22.9075396743481,30.396923710628474,36.21642012172594,30.42772680572885,0.0
