synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s10937,stammbuch,1901-1910,1911-1920,0.04186962511480173,0.038646325065671866
s10937,stammbuch,1911-1920,1921-1930,0.1934795628907571,0.1579382537876981
s10937,stammbuch,1921-1930,1931-1940,0.13103175461593697,0.18310413794066677
s10937,stammbuch,1931-1940,1941-1950,0.07513023532229703,0.08287975899344749
s10937,stammbuch,1941-1950,1951-1960,0.20743418898185984,0.10418764722173753
s10937,stammbuch,1951-1960,1961-1970,0.13473111642656707,0.09007129315822537
s10937,stammbuch,1961-1970,1971-1980,0.03495364663430847,0.09437575092058526
s10937,stammbuch,1971-1980,1981-1990,0.058249399334976124,0.049977281727105825
s10937,stammbuch,1981-1990,1991-2000,0.032831420824879616,0.04213834981779717
s10937,stammbuch,1991-2000,2001-2010,0.018720728173436153,0.10397088427223676
