,1901-1910,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,1.0,0.336,0.803,0.239,0.197,0.582,0.682,1.0,1.0,0.675
1921-1930,1.0,0.0,1.0,0.75,0.511,0.933,0.865,0.342,1.0,0.677,0.663
1931-1940,0.336,1.0,0.0,0.799,1.0,0.861,1.0,0.317,0.687,1.0,0.344
1941-1950,0.803,0.75,0.799,0.0,0.319,0.187,0.359,0.26,1.0,0.802,0.662
1951-1960,0.239,0.511,1.0,0.319,0.0,0.451,0.919,0.082,0.752,0.501,0.101
1961-1970,0.197,0.933,0.861,0.187,0.451,0.0,0.724,0.069,0.417,0.262,0.13
1971-1980,0.582,0.865,1.0,0.359,0.919,0.724,0.0,0.22,0.788,0.657,0.325
1981-1990,0.682,0.342,0.317,0.26,0.082,0.069,0.22,0.0,0.674,1.0,0.675
1991-2000,1.0,1.0,0.687,1.0,0.752,0.417,0.788,0.674,0.0,1.0,0.66
2001-2010,1.0,0.677,1.0,0.802,0.501,0.262,0.657,1.0,1.0,0.0,1.0
2011-2018,0.675,0.663,0.344,0.662,0.101,0.13,0.325,0.675,0.66,1.0,0.0
