synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s9426,universität,1901-1910,1911-1920,0.20641445818960036,0.09208541995585527
s9426,universität,1911-1920,1921-1930,0.024346452192689244,0.08992667585574196
s9426,universität,1921-1930,1931-1940,0.5138928875625646,1.4051139651025852
s9426,universität,1931-1940,1941-1950,0.0985919030871837,0.13669521877362387
s9426,universität,1941-1950,1951-1960,0.4290093804226242,0.20064117109812918
s9426,universität,1951-1960,1961-1970,0.28089914907906743,0.2628657369101008
s9426,universität,1961-1970,1971-1980,0.5598905550440817,0.6866093051726878
s9426,universität,1971-1980,1981-1990,0.3853783961623041,0.14371226102680892
s9426,universität,1981-1990,1991-2000,0.8020197018114298,0.5405145683720975
s9426,universität,1991-2000,2001-2010,0.13202149016916723,0.29489531334195174
