,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.733,0.472,0.787,0.8,0.181,0.702,0.593,0.426,0.445,0.137,0.611
1911-1920,0.733,0.0,0.487,0.864,0.484,0.017,0.433,0.169,0.434,0.203,0.107,0.466
1921-1930,0.472,0.487,0.0,0.414,0.032,0.782,0.49,0.572,0.019,0.017,0.0,0.562
1931-1940,0.787,0.864,0.414,0.0,0.234,0.128,0.944,0.593,0.55,0.37,0.124,0.462
1941-1950,0.8,0.484,0.032,0.234,0.0,0.031,0.173,0.231,0.176,0.083,0.022,0.224
1951-1960,0.181,0.017,0.782,0.128,0.031,0.0,0.53,0.187,0.011,0.04,0.0,0.887
1961-1970,0.702,0.433,0.49,0.944,0.173,0.53,0.0,0.579,0.284,0.483,0.048,0.631
1971-1980,0.593,0.169,0.572,0.593,0.231,0.187,0.579,0.0,0.518,0.804,0.379,0.898
1981-1990,0.426,0.434,0.019,0.55,0.176,0.011,0.284,0.518,0.0,0.706,0.658,0.26
1991-2000,0.445,0.203,0.017,0.37,0.083,0.04,0.483,0.804,0.706,0.0,0.147,0.131
2001-2010,0.137,0.107,0.0,0.124,0.022,0.0,0.048,0.379,0.658,0.147,0.0,0.066
2011-2018,0.611,0.466,0.562,0.462,0.224,0.887,0.631,0.898,0.26,0.131,0.066,0.0
