timespan_1,timespan_2,distance,drift_magnitude,p_value
1921-1930,2001-2010,8,811.6062591451962,0.0
1951-1960,2001-2010,5,322.2040072825416,0.0
1951-1960,1981-1990,3,320.1963563762981,0.011
1911-1920,1951-1960,4,332.9543980893273,0.017
1921-1930,1991-2000,7,778.4864782964838,0.017
1921-1930,1981-1990,6,811.7157920967163,0.019
1941-1950,2001-2010,6,223.04576422446297,0.022
1941-1950,1951-1960,1,298.0626591619535,0.031
1921-1930,1941-1950,2,792.7650377200814,0.032
1951-1960,1991-2000,4,259.29799998082274,0.04
1961-1970,2001-2010,4,259.19174424045406,0.048
