,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.132,0.667,0.217,0.028,0.165,0.141,0.105,0.118,0.279,0.164,0.072
1911-1920,0.132,0.0,0.332,0.531,0.355,0.876,0.221,0.213,0.013,0.53,0.155,0.145
1921-1930,0.667,0.332,0.0,0.748,0.019,0.326,0.44,0.248,0.036,0.385,0.45,0.244
1931-1940,0.217,0.531,0.748,0.0,0.021,0.516,0.657,0.902,0.007,0.76,0.57,0.467
1941-1950,0.028,0.355,0.019,0.021,0.0,0.322,0.002,0.488,0.01,0.229,0.029,0.512
1951-1960,0.165,0.876,0.326,0.516,0.322,0.0,0.324,0.889,0.002,0.8,0.608,0.506
1961-1970,0.141,0.221,0.44,0.657,0.002,0.324,0.0,0.852,0.0,0.605,0.306,0.546
1971-1980,0.105,0.213,0.248,0.902,0.488,0.889,0.852,0.0,0.326,0.473,0.171,0.58
1981-1990,0.118,0.013,0.036,0.007,0.01,0.002,0.0,0.326,0.0,0.111,0.021,0.273
1991-2000,0.279,0.53,0.385,0.76,0.229,0.8,0.605,0.473,0.111,0.0,0.346,0.522
2001-2010,0.164,0.155,0.45,0.57,0.029,0.608,0.306,0.171,0.021,0.346,0.0,0.167
2011-2018,0.072,0.145,0.244,0.467,0.512,0.506,0.546,0.58,0.273,0.522,0.167,0.0
