synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s6399,bank,1901-1910,1911-1920,0.31998030302460045,0.06476158579366145
s6399,bank,1911-1920,1921-1930,0.13909036016312692,0.012983967387564726
s6399,bank,1921-1930,1931-1940,1.774766127322048,0.6290800405773929
s6399,bank,1931-1940,1941-1950,0.5136662079733029,0.06795101300400976
s6399,bank,1941-1950,1951-1960,0.6885404433334354,0.0631754508743034
s6399,bank,1951-1960,1961-1970,0.6509925370056537,0.15941482410933525
s6399,bank,1961-1970,1971-1980,0.9526405609623765,0.048474456749560905
s6399,bank,1971-1980,1981-1990,0.7589323038984136,0.06172487260542411
s6399,bank,1981-1990,1991-2000,2.4141393411393413,0.32550668925658677
s6399,bank,1991-2000,2001-2010,0.32462002744863555,0.03067591780458266
