timespan_1,timespan_2,distance,drift_magnitude,p_value
1961-1970,1981-1990,2,478.7897547483977,0.0
1941-1950,1961-1970,2,420.70887739827145,0.002
1951-1960,1981-1990,3,486.61474227027696,0.002
1931-1940,1981-1990,5,468.27551959982094,0.007
1941-1950,1981-1990,4,595.4207225121853,0.01
1911-1920,1981-1990,7,466.81595408343793,0.013
1921-1930,1941-1950,2,395.4738188706,0.019
1931-1940,1941-1950,1,381.8495158828856,0.021
1981-1990,2001-2010,2,406.5358838325639,0.021
1901-1910,1941-1950,4,377.57481420820085,0.028
1941-1950,2001-2010,6,354.1923052625533,0.029
1921-1930,1981-1990,6,413.84261620288396,0.036
