synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s46736,blatt,1901-1910,1911-1920,0.5662130214560003,0.14167758811847794
s46736,blatt,1911-1920,1921-1930,0.32183357479214225,0.03946353199127211
s46736,blatt,1921-1930,1931-1940,0.3846478607415702,0.04268933633413782
s46736,blatt,1931-1940,1941-1950,0.20105233047905213,0.01658688643459744
s46736,blatt,1941-1950,1951-1960,0.4324042233820712,0.09005461505767173
s46736,blatt,1951-1960,1961-1970,0.5984665310200499,0.049791009805169664
s46736,blatt,1961-1970,1971-1980,0.8917367576753013,0.10249630039645205
s46736,blatt,1971-1980,1981-1990,0.7726511040661257,0.014859919072945555
s46736,blatt,1981-1990,1991-2000,0.8192592486501664,0.015088488498089555
s46736,blatt,1991-2000,2001-2010,0.6439531826947476,0.09592578342392502
