,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,545.0934180730501,592.5435862537742,548.3263589924512,512.5445866454822,494.53170854789516,497.8296406937461,507.03209465858015,498.98818349998135,512.7480163844857,512.7669852684189,501.4001179137744
1911-1920,545.0934180730501,0.0,471.8789336136505,371.3846564159292,309.89014025449194,304.748340076073,319.8518633451139,308.737560050184,304.69736855018084,322.69143497235484,326.41186082924236,297.4650142452698
1921-1930,592.5435862537742,471.8789336136505,0.0,438.5235534473797,406.0507176858791,409.04720748448096,397.4908960268089,407.33224945505293,403.1822954013201,413.76363324739,420.2004130130977,397.6458582237209
1931-1940,548.3263589924512,371.3846564159292,438.5235534473797,0.0,271.20207727780024,249.50904375864317,310.0298551475049,269.7549067563529,301.07034573597764,270.93912839562836,268.6889310937566,224.19845994738012
1941-1950,512.5445866454822,309.89014025449194,406.0507176858791,271.20207727780024,0.0,189.30754266839998,195.69020982270763,182.77405814102264,185.46708703128132,215.14864597694057,231.42652596468488,161.88127138904557
1951-1960,494.53170854789516,304.748340076073,409.04720748448096,249.50904375864317,189.30754266839998,0.0,195.02048478869804,169.84839805578233,182.55089742455505,189.09961197988756,199.88771117222615,140.3040484066123
1961-1970,497.8296406937461,319.8518633451139,397.4908960268089,310.0298551475049,195.69020982270763,195.02048478869804,0.0,185.44254240617582,162.84369248248004,217.71442981263547,243.0576502031772,182.95223979800457
1971-1980,507.03209465858015,308.737560050184,407.33224945505293,269.7549067563529,182.77405814102264,169.84839805578233,185.44254240617582,0.0,169.60486394315438,204.88213431737054,220.18792526253856,153.5484572653122
1981-1990,498.98818349998135,304.69736855018084,403.1822954013201,301.07034573597764,185.46708703128132,182.55089742455505,162.84369248248004,169.60486394315438,0.0,210.07611503388358,236.87305139042877,166.933094813097
1991-2000,512.7480163844857,322.69143497235484,413.76363324739,270.93912839562836,215.14864597694057,189.09961197988756,217.71442981263547,204.88213431737054,210.07611503388358,0.0,116.54024677753317,170.2955394043749
2001-2010,512.7669852684189,326.41186082924236,420.2004130130977,268.6889310937566,231.42652596468488,199.88771117222615,243.0576502031772,220.18792526253856,236.87305139042877,116.54024677753317,0.0,182.9557691310659
2011-2018,501.4001179137744,297.4650142452698,397.6458582237209,224.19845994738012,161.88127138904557,140.3040484066123,182.95223979800457,153.5484572653122,166.933094813097,170.2955394043749,182.9557691310659,0.0
