,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010
1901-1910,0.0,0.636,0.203,0.347,1.0,0.333,0.457,0.593,0.935,0.312
1911-1920,0.636,0.0,0.199,0.332,0.868,0.35,0.316,0.318,1.0,0.349
1921-1930,0.203,0.199,0.0,0.755,0.44,0.257,0.341,0.46,0.038,0.686
1931-1940,0.347,0.332,0.755,0.0,0.829,1.0,0.191,0.618,0.193,1.0
1941-1950,1.0,0.868,0.44,0.829,0.0,0.183,0.851,0.782,0.417,0.55
1951-1960,0.333,0.35,0.257,1.0,0.183,0.0,0.203,0.191,0.169,0.341
1961-1970,0.457,0.316,0.341,0.191,0.851,0.203,0.0,0.604,0.195,0.369
1971-1980,0.593,0.318,0.46,0.618,0.782,0.191,0.604,0.0,0.06,0.582
1981-1990,0.935,1.0,0.038,0.193,0.417,0.169,0.195,0.06,0.0,0.069
2001-2010,0.312,0.349,0.686,1.0,0.55,0.341,0.369,0.582,0.069,0.0
