,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.427,0.827,0.509,0.018,0.119,0.032,0.106,0.38,0.142,0.628,0.183
1911-1920,0.427,0.0,0.366,0.153,0.027,0.027,0.001,0.028,0.174,0.037,0.28,0.149
1921-1930,0.827,0.366,0.0,0.881,0.102,0.729,0.299,0.583,0.709,0.56,0.749,0.285
1931-1940,0.509,0.153,0.881,0.0,0.027,0.172,0.023,0.349,0.731,0.195,0.936,0.836
1941-1950,0.018,0.027,0.102,0.027,0.0,0.02,0.0,0.044,0.063,0.014,0.024,0.037
1951-1960,0.119,0.027,0.729,0.172,0.02,0.0,0.124,0.348,0.577,0.928,0.109,0.109
1961-1970,0.032,0.001,0.299,0.023,0.0,0.124,0.0,0.008,0.067,0.083,0.018,0.009
1971-1980,0.106,0.028,0.583,0.349,0.044,0.348,0.008,0.0,0.998,0.351,0.29,0.44
1981-1990,0.38,0.174,0.709,0.731,0.063,0.577,0.067,0.998,0.0,0.528,0.733,0.544
1991-2000,0.142,0.037,0.56,0.195,0.014,0.928,0.083,0.351,0.528,0.0,0.217,0.098
2001-2010,0.628,0.28,0.749,0.936,0.024,0.109,0.018,0.29,0.733,0.217,0.0,0.705
2011-2018,0.183,0.149,0.285,0.836,0.037,0.109,0.009,0.44,0.544,0.098,0.705,0.0
