,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,177.96869483695224,201.6363449427067,227.44309162531377,321.2846288120324,285.9389716087139,617.446712124944,391.2352554727495,236.41491327985406,184.58382357033807,159.55918449211285,214.31123373235746
1911-1920,177.96869483695224,0.0,195.5386318255366,216.38873240351032,328.29938545108763,271.1181497069213,601.0131966976069,385.8592508552316,208.35690582166202,170.02511658375275,156.08521018861074,200.13665825289988
1921-1930,201.6363449427067,195.5386318255366,0.0,198.18712285527252,274.76721757243354,275.5521275001925,627.417696204079,384.06571764292494,235.53180807351026,172.6338114207734,160.6049036147425,195.21110886226768
1931-1940,227.44309162531377,216.38873240351032,198.18712285527252,0.0,272.18976756566093,333.13548740413444,661.8641525868507,410.19578896050893,275.6091030968205,201.28238892524564,183.66243961865595,198.2104939135518
1941-1950,321.2846288120324,328.29938545108763,274.76721757243354,272.18976756566093,0.0,414.5746086580779,728.7783537734379,451.5996649717652,376.7395927720861,306.1036568072908,304.9414751717134,324.07634836097554
1951-1960,285.9389716087139,271.1181497069213,275.5521275001925,333.13548740413444,414.5746086580779,0.0,602.3398285994645,419.67317022356906,261.5132725842139,271.0277201593482,267.3224743247737,298.66115416537815
1961-1970,617.446712124944,601.0131966976069,627.417696204079,661.8641525868507,728.7783537734379,602.3398285994645,0.0,697.4940677582024,601.9977559963701,612.9992937754722,608.1295771293734,623.2975964227682
1971-1980,391.2352554727495,385.8592508552316,384.06571764292494,410.19578896050893,451.5996649717652,419.67317022356906,697.4940677582024,0.0,405.38681878302015,379.683134430413,383.5558682172197,409.72985016376174
1981-1990,236.41491327985406,208.35690582166202,235.53180807351026,275.6091030968205,376.7395927720861,261.5132725842139,601.9977559963701,405.38681878302015,0.0,216.53103722442117,213.34709028690665,237.21291222094283
1991-2000,184.58382357033807,170.02511658375275,172.6338114207734,201.28238892524564,306.1036568072908,271.0277201593482,612.9992937754722,379.683134430413,216.53103722442117,0.0,142.16396936388193,191.07288297539944
2001-2010,159.55918449211285,156.08521018861074,160.6049036147425,183.66243961865595,304.9414751717134,267.3224743247737,608.1295771293734,383.5558682172197,213.34709028690665,142.16396936388193,0.0,158.542701466829
2011-2018,214.31123373235746,200.13665825289988,195.21110886226768,198.2104939135518,324.07634836097554,298.66115416537815,623.2975964227682,409.72985016376174,237.21291222094283,191.07288297539944,158.542701466829,0.0
