,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,432.45056978776944,339.4078187529833,342.2220959775754,351.39808864887385,385.82896463431484,602.8261576486041,651.3061198270651,382.8564337068608,338.33965574916465,405.62817655994957,510.94613778753535
1911-1920,432.45056978776944,0.0,482.4174088091262,451.2278342635096,410.51261867212384,489.26358022468554,620.0932190970043,658.2842636088145,409.8667961445861,380.39795901024894,532.4329352182821,639.2999401789576
1921-1930,339.4078187529833,482.4174088091262,0.0,346.4223794599659,408.07875181882935,374.80514141425033,668.5974106942654,672.3246968549353,446.0576595331904,426.9961064554722,395.9989699934526,522.7970062082762
1931-1940,342.2220959775754,451.2278342635096,346.4223794599659,0.0,380.5730231002152,381.6431658889501,655.5801469284031,653.2148609999967,422.9874956932387,398.3129841133442,412.34459762186736,525.5354308893143
1941-1950,351.39808864887385,410.51261867212384,408.07875181882935,380.5730231002152,0.0,413.18029658034516,602.086885172204,543.5867709350136,326.48173580530727,378.9010292857691,395.4704122254572,493.7756400322259
1951-1960,385.82896463431484,489.26358022468554,374.80514141425033,381.6431658889501,413.18029658034516,0.0,670.0792368113154,648.9711886686149,428.1298288716131,441.34890011142227,417.19843698065773,497.76268999714483
1961-1970,602.8261576486041,620.0932190970043,668.5974106942654,655.5801469284031,602.086885172204,670.0792368113154,0.0,808.8042853409994,591.9000760107305,584.4422723897148,688.6911279317081,795.9297439371809
1971-1980,651.3061198270651,658.2842636088145,672.3246968549353,653.2148609999967,543.5867709350136,648.9711886686149,808.8042853409994,0.0,544.1279362137107,655.4858007115785,525.7702974902058,657.012817940408
1981-1990,382.8564337068608,409.8667961445861,446.0576595331904,422.9874956932387,326.48173580530727,428.1298288716131,591.9000760107305,544.1279362137107,0.0,367.60478634517364,427.00149287918305,559.8031526382982
1991-2000,338.33965574916465,380.39795901024894,426.9961064554722,398.3129841133442,378.9010292857691,441.34890011142227,584.4422723897148,655.4858007115785,367.60478634517364,0.0,478.91739972274905,593.4805924610766
2001-2010,405.62817655994957,532.4329352182821,395.9989699934526,412.34459762186736,395.4704122254572,417.19843698065773,688.6911279317081,525.7702974902058,427.00149287918305,478.91739972274905,0.0,501.78242340200933
2011-2018,510.94613778753535,639.2999401789576,522.7970062082762,525.5354308893143,493.7756400322259,497.76268999714483,795.9297439371809,657.012817940408,559.8031526382982,593.4805924610766,501.78242340200933,0.0
