,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.023,0.277,0.337,0.252,0.074,0.273,0.265,0.035,0.231,0.509,0.073
1911-1920,0.023,0.0,0.052,0.2,0.473,0.106,0.799,0.587,0.344,0.693,0.453,0.059
1921-1930,0.277,0.052,0.0,0.955,0.247,0.677,0.411,0.403,0.043,0.081,0.927,0.073
1931-1940,0.337,0.2,0.955,0.0,0.45,0.721,0.87,0.862,0.064,0.224,0.96,0.573
1941-1950,0.252,0.473,0.247,0.45,0.0,0.278,0.852,0.842,0.886,0.411,0.799,0.493
1951-1960,0.074,0.106,0.677,0.721,0.278,0.0,0.406,0.393,0.125,0.06,0.92,0.464
1961-1970,0.273,0.799,0.411,0.87,0.852,0.406,0.0,1.0,0.853,0.692,0.664,0.348
1971-1980,0.265,0.587,0.403,0.862,0.842,0.393,1.0,0.0,0.841,0.668,0.681,0.648
1981-1990,0.035,0.344,0.043,0.064,0.886,0.125,0.853,0.841,0.0,0.369,0.688,0.219
1991-2000,0.231,0.693,0.081,0.224,0.411,0.06,0.692,0.668,0.369,0.0,0.471,0.058
2001-2010,0.509,0.453,0.927,0.96,0.799,0.92,0.664,0.681,0.688,0.471,0.0,0.659
2011-2018,0.073,0.059,0.073,0.573,0.493,0.464,0.348,0.648,0.219,0.058,0.659,0.0
