synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s26149,fuß,1901-1910,1911-1920,0.18814325708472637,0.02134742801601943
s26149,fuß,1911-1920,1921-1930,0.12656494211021327,0.0789795162480631
s26149,fuß,1921-1930,1931-1940,0.12551148380490137,0.035178285228979485
s26149,fuß,1931-1940,1941-1950,0.13255376548609277,0.060387048339878846
s26149,fuß,1941-1950,1951-1960,0.08150432362423214,0.06872898719658523
s26149,fuß,1951-1960,1961-1970,0.07555343788203624,0.05692724100696363
s26149,fuß,1961-1970,1971-1980,0.08116440755631554,0.025462812650863222
s26149,fuß,1971-1980,1981-1990,0.091041721016929,0.07193445183800747
s26149,fuß,1981-1990,1991-2000,0.18733152757930904,0.07914965403179489
s26149,fuß,1991-2000,2001-2010,0.13571566243905492,0.04127113086183986
