,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,1.0,0.318,0.088,0.889,1.0,0.343,0.324,0.758,0.436,0.434
1911-1920,1.0,0.0,0.405,0.439,0.705,1.0,0.507,0.396,0.468,0.235,0.097
1921-1930,0.318,0.405,0.0,1.0,0.41,1.0,0.362,1.0,0.534,0.933,0.46
1931-1940,0.088,0.439,1.0,0.0,0.098,1.0,0.751,0.516,0.218,0.883,0.228
1941-1950,0.889,0.705,0.41,0.098,0.0,1.0,0.252,0.401,0.414,0.325,0.085
1961-1970,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.966,1.0
1971-1980,0.343,0.507,0.362,0.751,0.252,1.0,0.0,0.68,0.297,0.371,0.209
1981-1990,0.324,0.396,1.0,0.516,0.401,1.0,0.68,0.0,0.158,0.605,0.092
1991-2000,0.758,0.468,0.534,0.218,0.414,1.0,0.297,0.158,0.0,0.027,0.154
2001-2010,0.436,0.235,0.933,0.883,0.325,0.966,0.371,0.605,0.027,0.0,0.842
2011-2018,0.434,0.097,0.46,0.228,0.085,1.0,0.209,0.092,0.154,0.842,0.0
