synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s25671,kartenspiel,1901-1910,1911-1920,1.1770969921050838,0.2238832350246569
s25671,kartenspiel,1911-1920,1921-1930,0.6524325925112748,0.03230675651885106
s25671,kartenspiel,1921-1930,1931-1940,0.4853608010190934,0.024082335655012096
s25671,kartenspiel,1931-1940,1941-1950,0.9302711405768586,0.16199504238627369
s25671,kartenspiel,1941-1950,1951-1960,0.6984054911708539,0.06228599554379573
s25671,kartenspiel,1951-1960,1961-1970,0.2314418295959077,0.048449104799666694
s25671,kartenspiel,1961-1970,1971-1980,1.4482044336628785,0.180447068001586
s25671,kartenspiel,1971-1980,1981-1990,0.8958441018589965,0.03871264051393365
s25671,kartenspiel,1981-1990,1991-2000,2.5521987074676185,0.15013365826816114
s25671,kartenspiel,1991-2000,2001-2010,1.7808968295216046,0.1353060705735673
