,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.285,0.435,0.804,0.448,0.423,0.326,0.373,0.488,0.362,0.383,0.557
1911-1920,0.285,0.0,0.586,0.543,0.656,0.41,0.467,0.717,0.094,0.041,0.14,0.738
1921-1930,0.435,0.586,0.0,0.22,0.622,0.244,0.436,0.417,0.097,0.045,0.611,0.51
1931-1940,0.804,0.543,0.22,0.0,0.558,0.682,0.806,0.776,0.715,0.854,0.44,0.8
1941-1950,0.448,0.656,0.622,0.558,0.0,0.422,0.87,0.576,0.11,0.092,0.404,0.603
1951-1960,0.423,0.41,0.244,0.682,0.422,0.0,0.399,0.48,0.153,0.046,0.211,0.451
1961-1970,0.326,0.467,0.436,0.806,0.87,0.399,0.0,0.84,0.251,0.157,0.214,0.554
1971-1980,0.373,0.717,0.417,0.776,0.576,0.48,0.84,0.0,0.435,0.177,0.166,0.663
1981-1990,0.488,0.094,0.097,0.715,0.11,0.153,0.251,0.435,0.0,0.785,0.108,0.239
1991-2000,0.362,0.041,0.045,0.854,0.092,0.046,0.157,0.177,0.785,0.0,0.105,0.139
2001-2010,0.383,0.14,0.611,0.44,0.404,0.211,0.214,0.166,0.108,0.105,0.0,0.628
2011-2018,0.557,0.738,0.51,0.8,0.603,0.451,0.554,0.663,0.239,0.139,0.628,0.0
